"Census Profile, 2021 Census of Population"
,,,"Beaches--East York [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,109359,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,109468,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,-    0.1,"",,"...",,"...",-    0.1,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 48749,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 45722,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 6531.2,"",,"...",,"...", 6531.2,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   16.74,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,109360,"", 52955,"", 56405,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 18685,"",  9560,"",  9120,"",   17.1,"",   18.1,"",   16.2,"",
"Age characteristics","    0 to 4 years",,  6095,"",  3095,"",  3000,"",    5.6,"",    5.8,"",    5.3,"",
"Age characteristics","    5 to 9 years",,  6450,"",  3330,"",  3115,"",    5.9,"",    6.3,"",    5.5,"",
"Age characteristics","    10 to 14 years",,  6140,"",  3130,"",  3005,"",    5.6,"",    5.9,"",    5.3,"",
"Age characteristics","  15 to 64 years",, 73965,"", 36040,"", 37925,"",   67.6,"",   68.1,"",   67.2,"",
"Age characteristics","    15 to 19 years",,  5565,"",  2845,"",  2715,"",    5.1,"",    5.4,"",    4.8,"",
"Age characteristics","    20 to 24 years",,  5255,"",  2710,"",  2545,"",    4.8,"",    5.1,"",    4.5,"",
"Age characteristics","    25 to 29 years",,  6060,"",  2975,"",  3085,"",    5.5,"",    5.6,"",    5.5,"",
"Age characteristics","    30 to 34 years",,  7780,"",  3720,"",  4055,"",    7.1,"",    7.0,"",    7.2,"",
"Age characteristics","    35 to 39 years",,  8855,"",  4315,"",  4540,"",    8.1,"",    8.1,"",    8.0,"",
"Age characteristics","    40 to 44 years",,  8790,"",  4160,"",  4625,"",    8.0,"",    7.9,"",    8.2,"",
"Age characteristics","    45 to 49 years",,  8165,"",  3895,"",  4265,"",    7.5,"",    7.4,"",    7.6,"",
"Age characteristics","    50 to 54 years",,  8100,"",  3890,"",  4210,"",    7.4,"",    7.3,"",    7.5,"",
"Age characteristics","    55 to 59 years",,  8160,"",  4010,"",  4150,"",    7.5,"",    7.6,"",    7.4,"",
"Age characteristics","    60 to 64 years",,  7245,"",  3515,"",  3730,"",    6.6,"",    6.6,"",    6.6,"",
"Age characteristics","  65 years and over",, 16710,"",  7350,"",  9360,"",   15.3,"",   13.9,"",   16.6,"",
"Age characteristics","    65 to 69 years",,  5910,"",  2660,"",  3250,"",    5.4,"",    5.0,"",    5.8,"",
"Age characteristics","    70 to 74 years",,  4425,"",  2120,"",  2300,"",    4.0,"",    4.0,"",    4.1,"",
"Age characteristics","    75 to 79 years",,  2750,"",  1220,"",  1530,"",    2.5,"",    2.3,"",    2.7,"",
"Age characteristics","    80 to 84 years",,  1770,"",   730,"",  1045,"",    1.6,"",    1.4,"",    1.9,"",
"Age characteristics","    85 years and over",,  1855,"",   620,"",  1235,"",    1.7,"",    1.2,"",    2.2,"",
"Age characteristics","      85 to 89 years",,  1135,"",   435,"",   690,"",    1.0,"",    0.8,"",    1.2,"",
"Age characteristics","      90 to 94 years",,   555,"",   150,"",   405,"",    0.5,"",    0.3,"",    0.7,"",
"Age characteristics","      95 to 99 years",,   150,"",    30,"",   120,"",    0.1,"",    0.1,"",    0.2,"",
"Age characteristics","      100 years and over",,    20,"",     0,"",    20,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   17.1,"",   18.1,"",   16.2,"",   17.1,"",   18.1,"",   16.2,"",
"Age characteristics","  15 to 64 years",,   67.6,"",   68.1,"",   67.2,"",   67.6,"",   68.1,"",   67.2,"",
"Age characteristics","  65 years and over",,   15.3,"",   13.9,"",   16.6,"",   15.3,"",   13.9,"",   16.6,"",
"Age characteristics","    85 years and over",,    1.7,"",    1.2,"",    2.2,"",    1.7,"",    1.2,"",    2.2,"",
"Age characteristics","Average age of the population",,   40.8,"",   39.8,"",   41.7,"",   40.8,"",   39.8,"",   41.7,"",
"Age characteristics","Median age of the population",,   41.2,"",   40.4,"",   42.4,"",   41.2,"",   40.4,"",   42.4,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 45720,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 12795,"",,"...",,"...",   28.0,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  6615,"",,"...",,"...",   14.5,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  1725,"",,"...",,"...",    3.8,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  2265,"",,"...",,"...",    5.0,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",, 10765,"",,"...",,"...",   23.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 11435,"",,"...",,"...",   25.0,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,   115,"",,"...",,"...",    0.3,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     5,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 45720,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 14585,"",,"...",,"...",   31.9,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 13540,"",,"...",,"...",   29.6,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  7585,"",,"...",,"...",   16.6,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  7095,"",,"...",,"...",   15.5,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  2920,"",,"...",,"...",    6.4,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,108545,"", 52680,"", 55870,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.4,"",,"...",,"...",    2.4,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 90675,"", 43395,"", 47280,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 49030,"", 24625,"", 24405,"",   54.1,"",   56.7,"",   51.6,"",
"Marital status","    Married",, 40075,"", 20120,"", 19955,"",   44.2,"",   46.4,"",   42.2,"",
"Marital status","    Living common-law",,  8955,"",  4505,"",  4455,"",    9.9,"",   10.4,"",    9.4,"",
"Marital status","      Living common law - Never married",,  6950,"",  3460,"",  3485,"",    7.7,"",    8.0,"",    7.4,"",
"Marital status","      Living common law - Separated",,   265,"",   155,"",   105,"",    0.3,"",    0.4,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  1645,"",   845,"",   800,"",    1.8,"",    1.9,"",    1.7,"",
"Marital status","      Living common law - Widowed",,   100,"",    40,"",    60,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 41645,"", 18765,"", 22880,"",   45.9,"",   43.2,"",   48.4,"",
"Marital status","    Not married and not living common law - Never married",, 28570,"", 14550,"", 14020,"",   31.5,"",   33.5,"",   29.7,"",
"Marital status","    Not married and not living common law - Separated",,  2715,"",  1120,"",  1600,"",    3.0,"",    2.6,"",    3.4,"",
"Marital status","    Not married and not living common law - Divorced",,  6525,"",  2325,"",  4200,"",    7.2,"",    5.4,"",    8.9,"",
"Marital status","    Not married and not living common law - Widowed",,  3830,"",   775,"",  3055,"",    4.2,"",    1.8,"",    6.5,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 29590,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 13585,"",,"...",,"...",   45.9,"",,"...",,"...",
"Family characteristics","  3 persons",,  7255,"",,"...",,"...",   24.5,"",,"...",,"...",
"Family characteristics","  4 persons",,  6755,"",,"...",,"...",   22.8,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  2000,"",,"...",,"...",    6.8,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.9,"",,"...",,"...",    2.9,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.7,"",,"...",,"...",    1.7,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 29590,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 23885,"",,"...",,"...",   80.7,"",,"...",,"...",
"Family characteristics","    Married couples",, 19410,"",,"...",,"...",   65.6,"",,"...",,"...",
"Family characteristics","      With children",6, 12485,"",,"...",,"...",   42.2,"",,"...",,"...",
"Family characteristics","      Without children",,  6925,"",,"...",,"...",   23.4,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  4470,"",,"...",,"...",   15.1,"",,"...",,"...",
"Family characteristics","      With children",6,  1450,"",,"...",,"...",    4.9,"",,"...",,"...",
"Family characteristics","      Without children",,  3025,"",,"...",,"...",   10.2,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  5710,"",,"...",,"...",   19.3,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  4695,"",,"...",,"...",   15.9,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  1015,"",,"...",,"...",    3.4,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,108545,"", 52680,"", 55870,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 86435,"", 42230,"", 44205,"",   79.6,"",   80.2,"",   79.1,"",
"Family characteristics","    Married spouses or common-law partners",, 47770,"", 23915,"", 23855,"",   44.0,"",   45.4,"",   42.7,"",
"Family characteristics","    Parents in one-parent families",,  5705,"",  1015,"",  4690,"",    5.3,"",    1.9,"",    8.4,"",
"Family characteristics","    Children",6, 32965,"", 17300,"", 15660,"",   30.4,"",   32.8,"",   28.0,"",
"Family characteristics","      In a two-parent family",, 24560,"", 12730,"", 11830,"",   22.6,"",   24.2,"",   21.2,"",
"Family characteristics","      In a one-parent family",,  8400,"",  4575,"",  3830,"",    7.7,"",    8.7,"",    6.9,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 22110,"", 10445,"", 11665,"",   20.4,"",   19.8,"",   20.9,"",
"Family characteristics","    Living alone",, 14585,"",  6495,"",  8085,"",   13.4,"",   12.3,"",   14.5,"",
"Family characteristics","    Living with other relatives",7,  2610,"",  1060,"",  1550,"",    2.4,"",    2.0,"",    2.8,"",
"Family characteristics","    Living with non-relatives only",,  4920,"",  2890,"",  2025,"",    4.5,"",    5.5,"",    3.6,"",
"Household type","Total - Household type - 100% data",, 45720,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 26415,"",,"...",,"...",   57.8,"",,"...",,"...",
"Household type","    Couple-family households",, 21785,"",,"...",,"...",   47.6,"",,"...",,"...",
"Household type","      With children",6, 12840,"",,"...",,"...",   28.1,"",,"...",,"...",
"Household type","      Without children",,  8945,"",,"...",,"...",   19.6,"",,"...",,"...",
"Household type","    One-parent-family households",,  4635,"",,"...",,"...",   10.1,"",,"...",,"...",
"Household type","  Multigenerational households",8,   995,"",,"...",,"...",    2.2,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   220,"",,"...",,"...",    0.5,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1270,"",,"...",,"...",    2.8,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  2235,"",,"...",,"...",    4.9,"",,"...",,"...",
"Household type","  One-person households",, 14585,"",,"...",,"...",   31.9,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 89915,"", 43140,"", 46775,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 85990,"", 41165,"", 44825,"",   95.6,"",   95.4,"",   95.8,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 44000,"", 46800,"", 42000,"", 44000,"", 46800,"", 42000,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 86045,"", 41190,"", 44850,"",   95.7,"",   95.5,"",   95.9,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 39600,"", 41600,"", 38400,"", 39600,"", 41600,"", 38400,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 75385,"", 36525,"", 38860,"",   83.8,"",   84.7,"",   83.1,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 42800,"", 47600,"", 38800,"", 42800,"", 47600,"", 38800,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 63240,"", 31365,"", 31875,"",   70.3,"",   72.7,"",   68.1,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 46000,"", 50000,"", 42400,"", 46000,"", 50000,"", 42400,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 76635,"", 35900,"", 40735,"",   85.2,"",   83.2,"",   87.1,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8500,"",  6750,"",  9700,"",  8500,"",  6750,"",  9700,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  7935,"",  3335,"",  4600,"",    8.8,"",    7.7,"",    9.8,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5920,"",  5720,"",  6000,"",  5920,"",  5720,"",  6000,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 25955,"", 12755,"", 13200,"",   28.9,"",   29.6,"",   28.2,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 89815,"", 43095,"", 46720,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 85815,"", 41115,"", 44700,"",   95.5,"",   95.4,"",   95.7,"",
