"Census Profile, 2021 Census of Population"
,,,"Davenport [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,105946,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,108473,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,-    2.3,"",,"...",,"...",-    2.3,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 50157,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 45757,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 8769.1,"",,"...",,"...", 8769.1,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   12.08,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,105945,"", 52235,"", 53710,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 13295,"",  6960,"",  6335,"",   12.5,"",   13.3,"",   11.8,"",
"Age characteristics","    0 to 4 years",,  4805,"",  2530,"",  2275,"",    4.5,"",    4.8,"",    4.2,"",
"Age characteristics","    5 to 9 years",,  4365,"",  2255,"",  2115,"",    4.1,"",    4.3,"",    3.9,"",
"Age characteristics","    10 to 14 years",,  4120,"",  2180,"",  1945,"",    3.9,"",    4.2,"",    3.6,"",
"Age characteristics","  15 to 64 years",, 77515,"", 38550,"", 38960,"",   73.2,"",   73.8,"",   72.5,"",
"Age characteristics","    15 to 19 years",,  3955,"",  2085,"",  1870,"",    3.7,"",    4.0,"",    3.5,"",
"Age characteristics","    20 to 24 years",,  5620,"",  2715,"",  2905,"",    5.3,"",    5.2,"",    5.4,"",
"Age characteristics","    25 to 29 years",, 10120,"",  4770,"",  5350,"",    9.6,"",    9.1,"",   10.0,"",
"Age characteristics","    30 to 34 years",, 12495,"",  6100,"",  6395,"",   11.8,"",   11.7,"",   11.9,"",
"Age characteristics","    35 to 39 years",, 10815,"",  5465,"",  5350,"",   10.2,"",   10.5,"",   10.0,"",
"Age characteristics","    40 to 44 years",,  8525,"",  4340,"",  4180,"",    8.0,"",    8.3,"",    7.8,"",
"Age characteristics","    45 to 49 years",,  7095,"",  3530,"",  3560,"",    6.7,"",    6.8,"",    6.6,"",
"Age characteristics","    50 to 54 years",,  6605,"",  3305,"",  3300,"",    6.2,"",    6.3,"",    6.1,"",
"Age characteristics","    55 to 59 years",,  6465,"",  3300,"",  3160,"",    6.1,"",    6.3,"",    5.9,"",
"Age characteristics","    60 to 64 years",,  5820,"",  2935,"",  2885,"",    5.5,"",    5.6,"",    5.4,"",
"Age characteristics","  65 years and over",, 15140,"",  6730,"",  8410,"",   14.3,"",   12.9,"",   15.7,"",
"Age characteristics","    65 to 69 years",,  4670,"",  2225,"",  2445,"",    4.4,"",    4.3,"",    4.6,"",
"Age characteristics","    70 to 74 years",,  3675,"",  1705,"",  1970,"",    3.5,"",    3.3,"",    3.7,"",
"Age characteristics","    75 to 79 years",,  2680,"",  1175,"",  1500,"",    2.5,"",    2.2,"",    2.8,"",
"Age characteristics","    80 to 84 years",,  2050,"",   840,"",  1210,"",    1.9,"",    1.6,"",    2.3,"",
"Age characteristics","    85 years and over",,  2065,"",   785,"",  1280,"",    1.9,"",    1.5,"",    2.4,"",
"Age characteristics","      85 to 89 years",,  1310,"",   530,"",   780,"",    1.2,"",    1.0,"",    1.5,"",
"Age characteristics","      90 to 94 years",,   585,"",   205,"",   380,"",    0.6,"",    0.4,"",    0.7,"",
"Age characteristics","      95 to 99 years",,   160,"",    50,"",   110,"",    0.2,"",    0.1,"",    0.2,"",
"Age characteristics","      100 years and over",,    15,"",     0,"",    15,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   12.5,"",   13.3,"",   11.8,"",   12.5,"",   13.3,"",   11.8,"",
"Age characteristics","  15 to 64 years",,   73.2,"",   73.8,"",   72.5,"",   73.2,"",   73.8,"",   72.5,"",
"Age characteristics","  65 years and over",,   14.3,"",   12.9,"",   15.7,"",   14.3,"",   12.9,"",   15.7,"",
"Age characteristics","    85 years and over",,    1.9,"",    1.5,"",    2.4,"",    1.9,"",    1.5,"",    2.4,"",
"Age characteristics","Average age of the population",,   40.6,"",   39.9,"",   41.3,"",   40.6,"",   39.9,"",   41.3,"",
"Age characteristics","Median age of the population",,   38.4,"",   38.0,"",   38.4,"",   38.4,"",   38.0,"",   38.4,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 45755,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",,  6490,"",,"...",,"...",   14.2,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  6510,"",,"...",,"...",   14.2,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  2280,"",,"...",,"...",    5.0,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  3265,"",,"...",,"...",    7.1,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",, 18155,"",,"...",,"...",   39.7,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,  8550,"",,"...",,"...",   18.7,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,   505,"",,"...",,"...",    1.1,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     0,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 45760,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 14955,"",,"...",,"...",   32.7,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 15020,"",,"...",,"...",   32.8,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  7390,"",,"...",,"...",   16.1,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  5560,"",,"...",,"...",   12.2,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  2830,"",,"...",,"...",    6.2,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,105315,"", 51885,"", 53430,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.3,"",,"...",,"...",    2.3,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 92655,"", 45280,"", 47370,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 46790,"", 23475,"", 23315,"",   50.5,"",   51.8,"",   49.2,"",
"Marital status","    Married",, 33905,"", 17000,"", 16900,"",   36.6,"",   37.5,"",   35.7,"",
"Marital status","    Living common-law",, 12885,"",  6475,"",  6410,"",   13.9,"",   14.3,"",   13.5,"",
"Marital status","      Living common law - Never married",, 11380,"",  5655,"",  5720,"",   12.3,"",   12.5,"",   12.1,"",
"Marital status","      Living common law - Separated",,   235,"",   135,"",   105,"",    0.3,"",    0.3,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  1195,"",   660,"",   540,"",    1.3,"",    1.5,"",    1.1,"",
"Marital status","      Living common law - Widowed",,    70,"",    25,"",    40,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 45860,"", 21805,"", 24060,"",   49.5,"",   48.2,"",   50.8,"",
"Marital status","    Not married and not living common law - Never married",, 34155,"", 17750,"", 16410,"",   36.9,"",   39.2,"",   34.6,"",
"Marital status","    Not married and not living common law - Separated",,  2345,"",  1080,"",  1270,"",    2.5,"",    2.4,"",    2.7,"",
"Marital status","    Not married and not living common law - Divorced",,  5340,"",  2275,"",  3060,"",    5.8,"",    5.0,"",    6.5,"",
"Marital status","    Not married and not living common law - Widowed",,  4025,"",   700,"",  3320,"",    4.3,"",    1.5,"",    7.0,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 28115,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 15015,"",,"...",,"...",   53.4,"",,"...",,"...",
"Family characteristics","  3 persons",,  6735,"",,"...",,"...",   24.0,"",,"...",,"...",
"Family characteristics","  4 persons",,  5060,"",,"...",,"...",   18.0,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  1305,"",,"...",,"...",    4.6,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.8,"",,"...",,"...",    2.8,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.6,"",,"...",,"...",    1.6,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 28110,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 22785,"",,"...",,"...",   81.1,"",,"...",,"...",
"Family characteristics","    Married couples",, 16340,"",,"...",,"...",   58.1,"",,"...",,"...",
"Family characteristics","      With children",6,  9725,"",,"...",,"...",   34.6,"",,"...",,"...",
"Family characteristics","      Without children",,  6620,"",,"...",,"...",   23.6,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  6445,"",,"...",,"...",   22.9,"",,"...",,"...",
"Family characteristics","      With children",6,  1600,"",,"...",,"...",    5.7,"",,"...",,"...",
"Family characteristics","      Without children",,  4840,"",,"...",,"...",   17.2,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  5330,"",,"...",,"...",   19.0,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  4335,"",,"...",,"...",   15.4,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,   995,"",,"...",,"...",    3.5,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,105315,"", 51885,"", 53430,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 77320,"", 38200,"", 39115,"",   73.4,"",   73.6,"",   73.2,"",
"Family characteristics","    Married spouses or common-law partners",, 45565,"", 22805,"", 22760,"",   43.3,"",   44.0,"",   42.6,"",
"Family characteristics","    Parents in one-parent families",,  5325,"",   995,"",  4335,"",    5.1,"",    1.9,"",    8.1,"",
"Family characteristics","    Children",6, 26420,"", 14400,"", 12025,"",   25.1,"",   27.8,"",   22.5,"",
"Family characteristics","      In a two-parent family",, 18785,"", 10105,"",  8680,"",   17.8,"",   19.5,"",   16.2,"",
"Family characteristics","      In a one-parent family",,  7640,"",  4295,"",  3345,"",    7.3,"",    8.3,"",    6.3,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 27995,"", 13685,"", 14310,"",   26.6,"",   26.4,"",   26.8,"",
"Family characteristics","    Living alone",, 14955,"",  7170,"",  7785,"",   14.2,"",   13.8,"",   14.6,"",
"Family characteristics","    Living with other relatives",7,  3380,"",  1385,"",  1995,"",    3.2,"",    2.7,"",    3.7,"",
"Family characteristics","    Living with non-relatives only",,  9660,"",  5130,"",  4525,"",    9.2,"",    9.9,"",    8.5,"",
"Household type","Total - Household type - 100% data",, 45755,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 23130,"",,"...",,"...",   50.6,"",,"...",,"...",
"Household type","    Couple-family households",, 19315,"",,"...",,"...",   42.2,"",,"...",,"...",
"Household type","      With children",6,  9690,"",,"...",,"...",   21.2,"",,"...",,"...",
"Household type","      Without children",,  9620,"",,"...",,"...",   21.0,"",,"...",,"...",
"Household type","    One-parent-family households",,  3815,"",,"...",,"...",    8.3,"",,"...",,"...",
"Household type","  Multigenerational households",8,  1530,"",,"...",,"...",    3.3,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   390,"",,"...",,"...",    0.9,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1780,"",,"...",,"...",    3.9,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  3975,"",,"...",,"...",    8.7,"",,"...",,"...",
"Household type","  One-person households",, 14955,"",,"...",,"...",   32.7,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 92030,"", 44925,"", 47100,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 88550,"", 43210,"", 45345,"",   96.2,"",   96.2,"",   96.3,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 40400,"", 43600,"", 37600,"", 40400,"", 43600,"", 37600,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 88610,"", 43240,"", 45375,"",   96.3,"",   96.2,"",   96.3,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 36800,"", 39200,"", 34400,"", 36800,"", 39200,"", 34400,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 78295,"", 38760,"", 39535,"",   85.1,"",   86.3,"",   83.9,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 37200,"", 41600,"", 33200,"", 37200,"", 41600,"", 33200,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 67090,"", 33770,"", 33320,"",   72.9,"",   75.2,"",   70.7,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 42000,"", 45600,"", 38400,"", 42000,"", 45600,"", 38400,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 80645,"", 38865,"", 41780,"",   87.6,"",   86.5,"",   88.7,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8200,"",  6900,"",  9100,"",  8200,"",  6900,"",  9100,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 10145,"",  4665,"",  5480,"",   11.0,"",   10.4,"",   11.6,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5560,"",  5560,"",  5520,"",  5560,"",  5560,"",  5520,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 29850,"", 15060,"", 14790,"",   32.4,"",   33.5,"",   31.4,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 91635,"", 44700,"", 46935,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 88275,"", 43015,"", 45260,"",   96.3,"",   96.2,"",   96.4,"",
