"Census Profile, 2021 Census of Population"
,,,"Don Valley East [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1, 95039,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1, 94579,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    0.5,"",,"...",,"...",    0.5,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 40122,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 38300,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 4171.8,"",,"...",,"...", 4171.8,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   22.78,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",, 95040,"", 44690,"", 50345,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 14640,"",  7465,"",  7180,"",   15.4,"",   16.7,"",   14.3,"",
"Age characteristics","    0 to 4 years",,  4555,"",  2275,"",  2280,"",    4.8,"",    5.1,"",    4.5,"",
"Age characteristics","    5 to 9 years",,  4870,"",  2465,"",  2405,"",    5.1,"",    5.5,"",    4.8,"",
"Age characteristics","    10 to 14 years",,  5220,"",  2730,"",  2495,"",    5.5,"",    6.1,"",    5.0,"",
"Age characteristics","  15 to 64 years",, 62235,"", 29890,"", 32345,"",   65.5,"",   66.9,"",   64.2,"",
"Age characteristics","    15 to 19 years",,  5170,"",  2665,"",  2505,"",    5.4,"",    6.0,"",    5.0,"",
"Age characteristics","    20 to 24 years",,  5830,"",  3030,"",  2800,"",    6.1,"",    6.8,"",    5.6,"",
"Age characteristics","    25 to 29 years",,  6665,"",  3370,"",  3300,"",    7.0,"",    7.5,"",    6.6,"",
"Age characteristics","    30 to 34 years",,  6845,"",  3350,"",  3495,"",    7.2,"",    7.5,"",    6.9,"",
"Age characteristics","    35 to 39 years",,  6330,"",  2970,"",  3355,"",    6.7,"",    6.6,"",    6.7,"",
"Age characteristics","    40 to 44 years",,  6295,"",  2900,"",  3395,"",    6.6,"",    6.5,"",    6.7,"",
"Age characteristics","    45 to 49 years",,  6050,"",  2760,"",  3285,"",    6.4,"",    6.2,"",    6.5,"",
"Age characteristics","    50 to 54 years",,  6435,"",  2935,"",  3495,"",    6.8,"",    6.6,"",    6.9,"",
"Age characteristics","    55 to 59 years",,  6725,"",  3140,"",  3580,"",    7.1,"",    7.0,"",    7.1,"",
"Age characteristics","    60 to 64 years",,  5900,"",  2770,"",  3135,"",    6.2,"",    6.2,"",    6.2,"",
"Age characteristics","  65 years and over",, 18155,"",  7335,"", 10825,"",   19.1,"",   16.4,"",   21.5,"",
"Age characteristics","    65 to 69 years",,  4805,"",  2075,"",  2725,"",    5.1,"",    4.6,"",    5.4,"",
"Age characteristics","    70 to 74 years",,  4305,"",  1830,"",  2475,"",    4.5,"",    4.1,"",    4.9,"",
"Age characteristics","    75 to 79 years",,  3315,"",  1350,"",  1960,"",    3.5,"",    3.0,"",    3.9,"",
"Age characteristics","    80 to 84 years",,  2625,"",   985,"",  1640,"",    2.8,"",    2.2,"",    3.3,"",
"Age characteristics","    85 years and over",,  3110,"",  1085,"",  2020,"",    3.3,"",    2.4,"",    4.0,"",
"Age characteristics","      85 to 89 years",,  1790,"",   705,"",  1085,"",    1.9,"",    1.6,"",    2.2,"",
"Age characteristics","      90 to 94 years",,  1035,"",   315,"",   720,"",    1.1,"",    0.7,"",    1.4,"",
"Age characteristics","      95 to 99 years",,   245,"",    60,"",   185,"",    0.3,"",    0.1,"",    0.4,"",
"Age characteristics","      100 years and over",,    40,"",     5,"",    30,"",    0.0,"",    0.0,"",    0.1,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   15.4,"",   16.7,"",   14.3,"",   15.4,"",   16.7,"",   14.3,"",
"Age characteristics","  15 to 64 years",,   65.5,"",   66.9,"",   64.2,"",   65.5,"",   66.9,"",   64.2,"",
"Age characteristics","  65 years and over",,   19.1,"",   16.4,"",   21.5,"",   19.1,"",   16.4,"",   21.5,"",
"Age characteristics","    85 years and over",,    3.3,"",    2.4,"",    4.0,"",    3.3,"",    2.4,"",    4.0,"",
"Age characteristics","Average age of the population",,   42.2,"",   40.4,"",   43.9,"",   42.2,"",   40.4,"",   43.9,"",
"Age characteristics","Median age of the population",,   41.6,"",   39.2,"",   43.6,"",   41.6,"",   39.2,"",   43.6,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 38300,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",,  5485,"",,"...",,"...",   14.3,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  2090,"",,"...",,"...",    5.5,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  2795,"",,"...",,"...",    7.3,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,   310,"",,"...",,"...",    0.8,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  5025,"",,"...",,"...",   13.1,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 22560,"",,"...",,"...",   58.9,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    25,"",,"...",,"...",    0.1,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     5,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 38300,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 11740,"",,"...",,"...",   30.7,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 11295,"",,"...",,"...",   29.5,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  6460,"",,"...",,"...",   16.9,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  5305,"",,"...",,"...",   13.9,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  3500,"",,"...",,"...",    9.1,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",, 94320,"", 44520,"", 49800,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.5,"",,"...",,"...",    2.5,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 80395,"", 37225,"", 43170,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 40440,"", 20195,"", 20245,"",   50.3,"",   54.3,"",   46.9,"",
"Marital status","    Married",, 35945,"", 17930,"", 18015,"",   44.7,"",   48.2,"",   41.7,"",
"Marital status","    Living common-law",,  4495,"",  2265,"",  2235,"",    5.6,"",    6.1,"",    5.2,"",
"Marital status","      Living common law - Never married",,  3220,"",  1610,"",  1605,"",    4.0,"",    4.3,"",    3.7,"",
"Marital status","      Living common law - Separated",,   210,"",   120,"",    90,"",    0.3,"",    0.3,"",    0.2,"",
"Marital status","      Living common law - Divorced",,   960,"",   475,"",   485,"",    1.2,"",    1.3,"",    1.1,"",
"Marital status","      Living common law - Widowed",,   110,"",    55,"",    55,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 39955,"", 17035,"", 22920,"",   49.7,"",   45.8,"",   53.1,"",
"Marital status","    Not married and not living common law - Never married",, 26430,"", 13325,"", 13105,"",   32.9,"",   35.8,"",   30.4,"",
"Marital status","    Not married and not living common law - Separated",,  2580,"",   970,"",  1605,"",    3.2,"",    2.6,"",    3.7,"",
"Marital status","    Not married and not living common law - Divorced",,  5850,"",  1885,"",  3960,"",    7.3,"",    5.1,"",    9.2,"",
"Marital status","    Not married and not living common law - Widowed",,  5100,"",   845,"",  4250,"",    6.3,"",    2.3,"",    9.8,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 25490,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 11830,"",,"...",,"...",   46.4,"",,"...",,"...",
"Family characteristics","  3 persons",,  6225,"",,"...",,"...",   24.4,"",,"...",,"...",
"Family characteristics","  4 persons",,  5010,"",,"...",,"...",   19.7,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  2420,"",,"...",,"...",    9.5,"",,"...",,"...",
"Family characteristics","Average size of census families",,    3.0,"",,"...",,"...",    3.0,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.8,"",,"...",,"...",    1.8,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 25495,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 19400,"",,"...",,"...",   76.1,"",,"...",,"...",
"Family characteristics","    Married couples",, 17160,"",,"...",,"...",   67.3,"",,"...",,"...",
"Family characteristics","      With children",6, 10575,"",,"...",,"...",   41.5,"",,"...",,"...",
"Family characteristics","      Without children",,  6580,"",,"...",,"...",   25.8,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  2240,"",,"...",,"...",    8.8,"",,"...",,"...",
"Family characteristics","      With children",6,   760,"",,"...",,"...",    3.0,"",,"...",,"...",
"Family characteristics","      Without children",,  1485,"",,"...",,"...",    5.8,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  6090,"",,"...",,"...",   23.9,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  5235,"",,"...",,"...",   20.5,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,   855,"",,"...",,"...",    3.4,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",, 94320,"", 44520,"", 49805,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 75420,"", 36375,"", 39050,"",   80.0,"",   81.7,"",   78.4,"",
"Family characteristics","    Married spouses or common-law partners",, 38795,"", 19410,"", 19390,"",   41.1,"",   43.6,"",   38.9,"",
"Family characteristics","    Parents in one-parent families",,  6095,"",   855,"",  5235,"",    6.5,"",    1.9,"",   10.5,"",
"Family characteristics","    Children",6, 30535,"", 16110,"", 14425,"",   32.4,"",   36.2,"",   29.0,"",
"Family characteristics","      In a two-parent family",, 21115,"", 11095,"", 10020,"",   22.4,"",   24.9,"",   20.1,"",
"Family characteristics","      In a one-parent family",,  9420,"",  5015,"",  4405,"",   10.0,"",   11.3,"",    8.8,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 18895,"",  8145,"", 10750,"",   20.0,"",   18.3,"",   21.6,"",
"Family characteristics","    Living alone",, 11740,"",  4645,"",  7090,"",   12.4,"",   10.4,"",   14.2,"",
"Family characteristics","    Living with other relatives",7,  3250,"",  1230,"",  2015,"",    3.4,"",    2.8,"",    4.0,"",
"Family characteristics","    Living with non-relatives only",,  3910,"",  2265,"",  1650,"",    4.1,"",    5.1,"",    3.3,"",
"Household type","Total - Household type - 100% data",, 38300,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 21760,"",,"...",,"...",   56.8,"",,"...",,"...",
"Household type","    Couple-family households",, 16875,"",,"...",,"...",   44.1,"",,"...",,"...",
"Household type","      With children",6,  9990,"",,"...",,"...",   26.1,"",,"...",,"...",
"Household type","      Without children",,  6880,"",,"...",,"...",   18.0,"",,"...",,"...",
"Household type","    One-parent-family households",,  4885,"",,"...",,"...",   12.8,"",,"...",,"...",
"Household type","  Multigenerational households",8,  1300,"",,"...",,"...",    3.4,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   250,"",,"...",,"...",    0.7,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1295,"",,"...",,"...",    3.4,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  1960,"",,"...",,"...",    5.1,"",,"...",,"...",
"Household type","  One-person households",, 11740,"",,"...",,"...",   30.7,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 79705,"", 37065,"", 42640,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 75715,"", 34995,"", 40720,"",   95.0,"",   94.4,"",   95.5,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 36400,"", 38400,"", 35200,"", 36400,"", 38400,"", 35200,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 75735,"", 35005,"", 40725,"",   95.0,"",   94.4,"",   95.5,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 34000,"", 35200,"", 32800,"", 34000,"", 35200,"", 32800,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 63795,"", 30480,"", 33315,"",   80.0,"",   82.2,"",   78.1,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 31400,"", 35200,"", 28200,"", 31400,"", 35200,"", 28200,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 51600,"", 25870,"", 25730,"",   64.7,"",   69.8,"",   60.3,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 33600,"", 36000,"", 31000,"", 33600,"", 36000,"", 31000,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 70125,"", 32070,"", 38055,"",   88.0,"",   86.5,"",   89.2,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",, 10600,"",  8500,"", 12300,"", 10600,"",  8500,"", 12300,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  7310,"",  3140,"",  4170,"",    9.2,"",    8.5,"",    9.8,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5520,"",  5480,"",  5560,"",  5520,"",  5480,"",  5560,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 25640,"", 12650,"", 12990,"",   32.2,"",   34.1,"",   30.5,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 79750,"", 37135,"", 42620,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 75775,"", 35085,"", 40695,"",   95.0,"",   94.5,"",   95.5,"",
