"Census Profile, 2021 Census of Population"
,,,"Don Valley North [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,113663,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,110076,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    3.3,"",,"...",,"...",    3.3,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 48469,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 45784,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 4669.6,"",,"...",,"...", 4669.6,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   24.34,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,113665,"", 53885,"", 59775,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 14180,"",  7245,"",  6930,"",   12.5,"",   13.4,"",   11.6,"",
"Age characteristics","    0 to 4 years",,  4310,"",  2195,"",  2115,"",    3.8,"",    4.1,"",    3.5,"",
"Age characteristics","    5 to 9 years",,  4865,"",  2510,"",  2355,"",    4.3,"",    4.7,"",    3.9,"",
"Age characteristics","    10 to 14 years",,  5005,"",  2545,"",  2460,"",    4.4,"",    4.7,"",    4.1,"",
"Age characteristics","  15 to 64 years",, 76410,"", 36845,"", 39565,"",   67.2,"",   68.4,"",   66.2,"",
"Age characteristics","    15 to 19 years",,  5210,"",  2815,"",  2395,"",    4.6,"",    5.2,"",    4.0,"",
"Age characteristics","    20 to 24 years",,  7535,"",  3860,"",  3670,"",    6.6,"",    7.2,"",    6.1,"",
"Age characteristics","    25 to 29 years",, 10470,"",  5265,"",  5205,"",    9.2,"",    9.8,"",    8.7,"",
"Age characteristics","    30 to 34 years",,  9905,"",  4865,"",  5035,"",    8.7,"",    9.0,"",    8.4,"",
"Age characteristics","    35 to 39 years",,  8285,"",  4055,"",  4235,"",    7.3,"",    7.5,"",    7.1,"",
"Age characteristics","    40 to 44 years",,  7040,"",  3300,"",  3745,"",    6.2,"",    6.1,"",    6.3,"",
"Age characteristics","    45 to 49 years",,  6875,"",  3090,"",  3785,"",    6.0,"",    5.7,"",    6.3,"",
"Age characteristics","    50 to 54 years",,  7300,"",  3265,"",  4035,"",    6.4,"",    6.1,"",    6.8,"",
"Age characteristics","    55 to 59 years",,  7195,"",  3390,"",  3795,"",    6.3,"",    6.3,"",    6.3,"",
"Age characteristics","    60 to 64 years",,  6600,"",  2940,"",  3660,"",    5.8,"",    5.5,"",    6.1,"",
"Age characteristics","  65 years and over",, 23080,"",  9795,"", 13280,"",   20.3,"",   18.2,"",   22.2,"",
"Age characteristics","    65 to 69 years",,  6010,"",  2630,"",  3380,"",    5.3,"",    4.9,"",    5.7,"",
"Age characteristics","    70 to 74 years",,  5730,"",  2535,"",  3200,"",    5.0,"",    4.7,"",    5.4,"",
"Age characteristics","    75 to 79 years",,  4210,"",  1770,"",  2440,"",    3.7,"",    3.3,"",    4.1,"",
"Age characteristics","    80 to 84 years",,  3505,"",  1475,"",  2035,"",    3.1,"",    2.7,"",    3.4,"",
"Age characteristics","    85 years and over",,  3620,"",  1390,"",  2230,"",    3.2,"",    2.6,"",    3.7,"",
"Age characteristics","      85 to 89 years",,  2120,"",   880,"",  1245,"",    1.9,"",    1.6,"",    2.1,"",
"Age characteristics","      90 to 94 years",,  1120,"",   415,"",   705,"",    1.0,"",    0.8,"",    1.2,"",
"Age characteristics","      95 to 99 years",,   325,"",    80,"",   245,"",    0.3,"",    0.1,"",    0.4,"",
"Age characteristics","      100 years and over",,    50,"",    15,"",    35,"",    0.0,"",    0.0,"",    0.1,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   12.5,"",   13.4,"",   11.6,"",   12.5,"",   13.4,"",   11.6,"",
"Age characteristics","  15 to 64 years",,   67.2,"",   68.4,"",   66.2,"",   67.2,"",   68.4,"",   66.2,"",
"Age characteristics","  65 years and over",,   20.3,"",   18.2,"",   22.2,"",   20.3,"",   18.2,"",   22.2,"",
"Age characteristics","    85 years and over",,    3.2,"",    2.6,"",    3.7,"",    3.2,"",    2.6,"",    3.7,"",
"Age characteristics","Average age of the population",,   43.0,"",   41.3,"",   44.5,"",   43.0,"",   41.3,"",   44.5,"",
"Age characteristics","Median age of the population",,   40.8,"",   38.4,"",   43.2,"",   40.8,"",   38.4,"",   43.2,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 45785,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",,  8830,"",,"...",,"...",   19.3,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  3575,"",,"...",,"...",    7.8,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  4140,"",,"...",,"...",    9.0,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,   600,"",,"...",,"...",    1.3,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  2935,"",,"...",,"...",    6.4,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 25675,"",,"...",,"...",   56.1,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    25,"",,"...",,"...",    0.1,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     5,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 45785,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 12555,"",,"...",,"...",   27.4,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 14885,"",,"...",,"...",   32.5,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  8555,"",,"...",,"...",   18.7,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  6360,"",,"...",,"...",   13.9,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  3440,"",,"...",,"...",    7.5,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,112590,"", 53530,"", 59060,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.5,"",,"...",,"...",    2.5,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 99485,"", 46640,"", 52840,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 53850,"", 26755,"", 27095,"",   54.1,"",   57.4,"",   51.3,"",
"Marital status","    Married",, 48985,"", 24310,"", 24680,"",   49.2,"",   52.1,"",   46.7,"",
"Marital status","    Living common-law",,  4865,"",  2445,"",  2415,"",    4.9,"",    5.2,"",    4.6,"",
"Marital status","      Living common law - Never married",,  3805,"",  1910,"",  1895,"",    3.8,"",    4.1,"",    3.6,"",
"Marital status","      Living common law - Separated",,   155,"",    90,"",    60,"",    0.2,"",    0.2,"",    0.1,"",
"Marital status","      Living common law - Divorced",,   835,"",   415,"",   420,"",    0.8,"",    0.9,"",    0.8,"",
"Marital status","      Living common law - Widowed",,    70,"",    30,"",    40,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 45635,"", 19890,"", 25750,"",   45.9,"",   42.6,"",   48.7,"",
"Marital status","    Not married and not living common law - Never married",, 31715,"", 16275,"", 15445,"",   31.9,"",   34.9,"",   29.2,"",
"Marital status","    Not married and not living common law - Separated",,  2305,"",   835,"",  1470,"",    2.3,"",    1.8,"",    2.8,"",
"Marital status","    Not married and not living common law - Divorced",,  5865,"",  1825,"",  4035,"",    5.9,"",    3.9,"",    7.6,"",
"Marital status","    Not married and not living common law - Widowed",,  5755,"",   960,"",  4800,"",    5.8,"",    2.1,"",    9.1,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 31640,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 15815,"",,"...",,"...",   50.0,"",,"...",,"...",
"Family characteristics","  3 persons",,  8400,"",,"...",,"...",   26.5,"",,"...",,"...",
"Family characteristics","  4 persons",,  5795,"",,"...",,"...",   18.3,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  1625,"",,"...",,"...",    5.1,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.8,"",,"...",,"...",    2.8,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.6,"",,"...",,"...",    1.6,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 31645,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 25705,"",,"...",,"...",   81.2,"",,"...",,"...",
"Family characteristics","    Married couples",, 23275,"",,"...",,"...",   73.6,"",,"...",,"...",
"Family characteristics","      With children",6, 13205,"",,"...",,"...",   41.7,"",,"...",,"...",
"Family characteristics","      Without children",, 10075,"",,"...",,"...",   31.8,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  2430,"",,"...",,"...",    7.7,"",,"...",,"...",
"Family characteristics","      With children",6,   595,"",,"...",,"...",    1.9,"",,"...",,"...",
"Family characteristics","      Without children",,  1835,"",,"...",,"...",    5.8,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  5930,"",,"...",,"...",   18.7,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  5030,"",,"...",,"...",   15.9,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,   900,"",,"...",,"...",    2.8,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,112590,"", 53530,"", 59060,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 88640,"", 43030,"", 45615,"",   78.7,"",   80.4,"",   77.2,"",
"Family characteristics","    Married spouses or common-law partners",, 51415,"", 25705,"", 25710,"",   45.7,"",   48.0,"",   43.5,"",
"Family characteristics","    Parents in one-parent families",,  5935,"",   905,"",  5035,"",    5.3,"",    1.7,"",    8.5,"",
"Family characteristics","    Children",6, 31295,"", 16420,"", 14870,"",   27.8,"",   30.7,"",   25.2,"",
"Family characteristics","      In a two-parent family",, 22665,"", 11835,"", 10835,"",   20.1,"",   22.1,"",   18.3,"",
"Family characteristics","      In a one-parent family",,  8625,"",  4590,"",  4040,"",    7.7,"",    8.6,"",    6.8,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 23950,"", 10505,"", 13445,"",   21.3,"",   19.6,"",   22.8,"",
"Family characteristics","    Living alone",, 12550,"",  4875,"",  7675,"",   11.1,"",    9.1,"",   13.0,"",
"Family characteristics","    Living with other relatives",7,  3915,"",  1410,"",  2505,"",    3.5,"",    2.6,"",    4.2,"",
"Family characteristics","    Living with non-relatives only",,  7480,"",  4215,"",  3265,"",    6.6,"",    7.9,"",    5.5,"",
"Household type","Total - Household type - 100% data",, 45785,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 26370,"",,"...",,"...",   57.6,"",,"...",,"...",
"Household type","    Couple-family households",, 21820,"",,"...",,"...",   47.7,"",,"...",,"...",
"Household type","      With children",6, 11865,"",,"...",,"...",   25.9,"",,"...",,"...",
"Household type","      Without children",,  9955,"",,"...",,"...",   21.7,"",,"...",,"...",
"Household type","    One-parent-family households",,  4550,"",,"...",,"...",    9.9,"",,"...",,"...",
"Household type","  Multigenerational households",8,  1695,"",,"...",,"...",    3.7,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   420,"",,"...",,"...",    0.9,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1825,"",,"...",,"...",    4.0,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  2920,"",,"...",,"...",    6.4,"",,"...",,"...",
"Household type","  One-person households",, 12550,"",,"...",,"...",   27.4,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 98430,"", 46295,"", 52130,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 93195,"", 43680,"", 49515,"",   94.7,"",   94.4,"",   95.0,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 36800,"", 39600,"", 34800,"", 36800,"", 39600,"", 34800,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 93220,"", 43690,"", 49530,"",   94.7,"",   94.4,"",   95.0,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 34000,"", 36400,"", 32400,"", 34000,"", 36400,"", 32400,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 82040,"", 39285,"", 42755,"",   83.3,"",   84.9,"",   82.0,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 32000,"", 36800,"", 28000,"", 32000,"", 36800,"", 28000,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 64335,"", 32160,"", 32170,"",   65.4,"",   69.5,"",   61.7,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 35200,"", 39600,"", 31400,"", 35200,"", 39600,"", 31400,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 85740,"", 39780,"", 45960,"",   87.1,"",   85.9,"",   88.2,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8100,"",  6200,"",  9600,"",  8100,"",  6200,"",  9600,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  7375,"",  3025,"",  4350,"",    7.5,"",    6.5,"",    8.3,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5480,"",  5520,"",  5480,"",  5480,"",  5520,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 29780,"", 14390,"", 15390,"",   30.3,"",   31.1,"",   29.5,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 98430,"", 46280,"", 52150,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 93410,"", 43715,"", 49695,"",   94.9,"",   94.5,"",   95.3,"",
