"Census Profile, 2021 Census of Population"
,,,"Eglinton--Lawrence [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,115832,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,114395,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    1.3,"",,"...",,"...",    1.3,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 48978,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 45891,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 5114.3,"",,"...",,"...", 5114.3,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   22.65,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,115830,"", 54260,"", 61575,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 19015,"",  9795,"",  9220,"",   16.4,"",   18.1,"",   15.0,"",
"Age characteristics","    0 to 4 years",,  5730,"",  2955,"",  2775,"",    4.9,"",    5.4,"",    4.5,"",
"Age characteristics","    5 to 9 years",,  6255,"",  3240,"",  3015,"",    5.4,"",    6.0,"",    4.9,"",
"Age characteristics","    10 to 14 years",,  7025,"",  3595,"",  3430,"",    6.1,"",    6.6,"",    5.6,"",
"Age characteristics","  15 to 64 years",, 76140,"", 35845,"", 40295,"",   65.7,"",   66.1,"",   65.4,"",
"Age characteristics","    15 to 19 years",,  7360,"",  3800,"",  3555,"",    6.4,"",    7.0,"",    5.8,"",
"Age characteristics","    20 to 24 years",,  7150,"",  3665,"",  3490,"",    6.2,"",    6.8,"",    5.7,"",
"Age characteristics","    25 to 29 years",,  7085,"",  3465,"",  3610,"",    6.1,"",    6.4,"",    5.9,"",
"Age characteristics","    30 to 34 years",,  7590,"",  3675,"",  3915,"",    6.6,"",    6.8,"",    6.4,"",
"Age characteristics","    35 to 39 years",,  7555,"",  3485,"",  4070,"",    6.5,"",    6.4,"",    6.6,"",
"Age characteristics","    40 to 44 years",,  7820,"",  3500,"",  4320,"",    6.8,"",    6.5,"",    7.0,"",
"Age characteristics","    45 to 49 years",,  7935,"",  3530,"",  4405,"",    6.9,"",    6.5,"",    7.2,"",
"Age characteristics","    50 to 54 years",,  8300,"",  3695,"",  4605,"",    7.2,"",    6.8,"",    7.5,"",
"Age characteristics","    55 to 59 years",,  8040,"",  3715,"",  4325,"",    6.9,"",    6.8,"",    7.0,"",
"Age characteristics","    60 to 64 years",,  7305,"",  3305,"",  4005,"",    6.3,"",    6.1,"",    6.5,"",
"Age characteristics","  65 years and over",, 20680,"",  8620,"", 12060,"",   17.9,"",   15.9,"",   19.6,"",
"Age characteristics","    65 to 69 years",,  6180,"",  2710,"",  3470,"",    5.3,"",    5.0,"",    5.6,"",
"Age characteristics","    70 to 74 years",,  5140,"",  2285,"",  2860,"",    4.4,"",    4.2,"",    4.6,"",
"Age characteristics","    75 to 79 years",,  3460,"",  1470,"",  1990,"",    3.0,"",    2.7,"",    3.2,"",
"Age characteristics","    80 to 84 years",,  2545,"",   995,"",  1550,"",    2.2,"",    1.8,"",    2.5,"",
"Age characteristics","    85 years and over",,  3345,"",  1160,"",  2190,"",    2.9,"",    2.1,"",    3.6,"",
"Age characteristics","      85 to 89 years",,  1815,"",   725,"",  1090,"",    1.6,"",    1.3,"",    1.8,"",
"Age characteristics","      90 to 94 years",,  1155,"",   355,"",   800,"",    1.0,"",    0.7,"",    1.3,"",
"Age characteristics","      95 to 99 years",,   335,"",    70,"",   265,"",    0.3,"",    0.1,"",    0.4,"",
"Age characteristics","      100 years and over",,    45,"",     5,"",    40,"",    0.0,"",    0.0,"",    0.1,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   16.4,"",   18.1,"",   15.0,"",   16.4,"",   18.1,"",   15.0,"",
"Age characteristics","  15 to 64 years",,   65.7,"",   66.1,"",   65.4,"",   65.7,"",   66.1,"",   65.4,"",
"Age characteristics","  65 years and over",,   17.9,"",   15.9,"",   19.6,"",   17.9,"",   15.9,"",   19.6,"",
"Age characteristics","    85 years and over",,    2.9,"",    2.1,"",    3.6,"",    2.9,"",    2.1,"",    3.6,"",
"Age characteristics","Average age of the population",,   41.4,"",   39.6,"",   43.0,"",   41.4,"",   39.6,"",   43.0,"",
"Age characteristics","Median age of the population",,   41.2,"",   38.8,"",   43.6,"",   41.2,"",   38.8,"",   43.6,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 45890,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 17180,"",,"...",,"...",   37.4,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  1490,"",,"...",,"...",    3.2,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  1615,"",,"...",,"...",    3.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  2265,"",,"...",,"...",    4.9,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  8005,"",,"...",,"...",   17.4,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 15310,"",,"...",,"...",   33.4,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    20,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     5,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 45890,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 14060,"",,"...",,"...",   30.6,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 13300,"",,"...",,"...",   29.0,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  7190,"",,"...",,"...",   15.7,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  6995,"",,"...",,"...",   15.2,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  4340,"",,"...",,"...",    9.5,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,114785,"", 53925,"", 60860,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.5,"",,"...",,"...",    2.5,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 96820,"", 44465,"", 52355,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 51625,"", 25615,"", 26010,"",   53.3,"",   57.6,"",   49.7,"",
"Marital status","    Married",, 45790,"", 22685,"", 23105,"",   47.3,"",   51.0,"",   44.1,"",
"Marital status","    Living common-law",,  5840,"",  2935,"",  2910,"",    6.0,"",    6.6,"",    5.6,"",
"Marital status","      Living common law - Never married",,  4345,"",  2145,"",  2205,"",    4.5,"",    4.8,"",    4.2,"",
"Marital status","      Living common law - Separated",,   200,"",   125,"",    80,"",    0.2,"",    0.3,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  1170,"",   615,"",   555,"",    1.2,"",    1.4,"",    1.1,"",
"Marital status","      Living common law - Widowed",,   120,"",    55,"",    70,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 45195,"", 18850,"", 26340,"",   46.7,"",   42.4,"",   50.3,"",
"Marital status","    Not married and not living common law - Never married",, 31455,"", 15205,"", 16255,"",   32.5,"",   34.2,"",   31.0,"",
"Marital status","    Not married and not living common law - Separated",,  2480,"",   920,"",  1555,"",    2.6,"",    2.1,"",    3.0,"",
"Marital status","    Not married and not living common law - Divorced",,  6320,"",  1950,"",  4375,"",    6.5,"",    4.4,"",    8.4,"",
"Marital status","    Not married and not living common law - Widowed",,  4940,"",   785,"",  4155,"",    5.1,"",    1.8,"",    7.9,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 30590,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 13595,"",,"...",,"...",   44.4,"",,"...",,"...",
"Family characteristics","  3 persons",,  7000,"",,"...",,"...",   22.9,"",,"...",,"...",
"Family characteristics","  4 persons",,  6835,"",,"...",,"...",   22.3,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  3165,"",,"...",,"...",   10.3,"",,"...",,"...",
"Family characteristics","Average size of census families",,    3.0,"",,"...",,"...",    3.0,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.8,"",,"...",,"...",    1.8,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 30595,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 24925,"",,"...",,"...",   81.5,"",,"...",,"...",
"Family characteristics","    Married couples",, 22010,"",,"...",,"...",   71.9,"",,"...",,"...",
"Family characteristics","      With children",6, 13945,"",,"...",,"...",   45.6,"",,"...",,"...",
"Family characteristics","      Without children",,  8065,"",,"...",,"...",   26.4,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  2920,"",,"...",,"...",    9.5,"",,"...",,"...",
"Family characteristics","      With children",6,   895,"",,"...",,"...",    2.9,"",,"...",,"...",
"Family characteristics","      Without children",,  2020,"",,"...",,"...",    6.6,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  5665,"",,"...",,"...",   18.5,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  4830,"",,"...",,"...",   15.8,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,   835,"",,"...",,"...",    2.7,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,114785,"", 53930,"", 60860,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 93095,"", 45500,"", 47595,"",   81.1,"",   84.4,"",   78.2,"",
"Family characteristics","    Married spouses or common-law partners",, 49850,"", 24935,"", 24920,"",   43.4,"",   46.2,"",   40.9,"",
"Family characteristics","    Parents in one-parent families",,  5665,"",   840,"",  4825,"",    4.9,"",    1.6,"",    7.9,"",
"Family characteristics","    Children",6, 37575,"", 19725,"", 17845,"",   32.7,"",   36.6,"",   29.3,"",
"Family characteristics","      In a two-parent family",, 28895,"", 15190,"", 13700,"",   25.2,"",   28.2,"",   22.5,"",
"Family characteristics","      In a one-parent family",,  8685,"",  4535,"",  4145,"",    7.6,"",    8.4,"",    6.8,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 21690,"",  8425,"", 13270,"",   18.9,"",   15.6,"",   21.8,"",
"Family characteristics","    Living alone",, 14060,"",  5365,"",  8695,"",   12.2,"",    9.9,"",   14.3,"",
"Family characteristics","    Living with other relatives",7,  2895,"",  1000,"",  1900,"",    2.5,"",    1.9,"",    3.1,"",
"Family characteristics","    Living with non-relatives only",,  4735,"",  2060,"",  2675,"",    4.1,"",    3.8,"",    4.4,"",
"Household type","Total - Household type - 100% data",, 45895,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 26770,"",,"...",,"...",   58.3,"",,"...",,"...",
"Household type","    Couple-family households",, 22245,"",,"...",,"...",   48.5,"",,"...",,"...",
"Household type","      With children",6, 13250,"",,"...",,"...",   28.9,"",,"...",,"...",
"Household type","      Without children",,  8990,"",,"...",,"...",   19.6,"",,"...",,"...",
"Household type","    One-parent-family households",,  4530,"",,"...",,"...",    9.9,"",,"...",,"...",
"Household type","  Multigenerational households",8,  1065,"",,"...",,"...",    2.3,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   275,"",,"...",,"...",    0.6,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1670,"",,"...",,"...",    3.6,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  2045,"",,"...",,"...",    4.5,"",,"...",,"...",
"Household type","  One-person households",, 14065,"",,"...",,"...",   30.6,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 95800,"", 44145,"", 51655,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 91605,"", 42030,"", 49570,"",   95.6,"",   95.2,"",   96.0,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 44000,"", 49600,"", 41200,"", 44000,"", 49600,"", 41200,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 91705,"", 42080,"", 49630,"",   95.7,"",   95.3,"",   96.1,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 39600,"", 43200,"", 37200,"", 39600,"", 43200,"", 37200,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 82725,"", 38500,"", 44225,"",   86.4,"",   87.2,"",   85.6,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 41200,"", 48800,"", 35200,"", 41200,"", 48800,"", 35200,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 66775,"", 32100,"", 34675,"",   69.7,"",   72.7,"",   67.1,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 41600,"", 50000,"", 35600,"", 41600,"", 50000,"", 35600,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 81505,"", 36815,"", 44685,"",   85.1,"",   83.4,"",   86.5,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  7350,"",  5320,"",  9200,"",  7350,"",  5320,"",  9200,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  7575,"",  2870,"",  4705,"",    7.9,"",    6.5,"",    9.1,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5600,"",  5480,"",  5760,"",  5600,"",  5480,"",  5760,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 27940,"", 12765,"", 15170,"",   29.2,"",   28.9,"",   29.4,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  8500,"",  8000,"",  9500,"",  8500,"",  8000,"",  9500,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 95705,"", 44005,"", 51700,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 91570,"", 41935,"", 49635,"",   95.7,"",   95.3,"",   96.0,"",
