"Census Profile, 2021 Census of Population"
,,,"Etobicoke North [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,116003,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,118040,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,-    1.7,"",,"...",,"...",-    1.7,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 40001,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 38221,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 2428.3,"",,"...",,"...", 2428.3,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   47.77,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,116000,"", 57125,"", 58875,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 18615,"",  9605,"",  9010,"",   16.0,"",   16.8,"",   15.3,"",
"Age characteristics","    0 to 4 years",,  5755,"",  2935,"",  2820,"",    5.0,"",    5.1,"",    4.8,"",
"Age characteristics","    5 to 9 years",,  6110,"",  3165,"",  2945,"",    5.3,"",    5.5,"",    5.0,"",
"Age characteristics","    10 to 14 years",,  6750,"",  3500,"",  3250,"",    5.8,"",    6.1,"",    5.5,"",
"Age characteristics","  15 to 64 years",, 79045,"", 39155,"", 39885,"",   68.1,"",   68.5,"",   67.7,"",
"Age characteristics","    15 to 19 years",,  7315,"",  3770,"",  3545,"",    6.3,"",    6.6,"",    6.0,"",
"Age characteristics","    20 to 24 years",,  9570,"",  5220,"",  4350,"",    8.3,"",    9.1,"",    7.4,"",
"Age characteristics","    25 to 29 years",, 10055,"",  5225,"",  4830,"",    8.7,"",    9.1,"",    8.2,"",
"Age characteristics","    30 to 34 years",,  8080,"",  4005,"",  4080,"",    7.0,"",    7.0,"",    6.9,"",
"Age characteristics","    35 to 39 years",,  7400,"",  3480,"",  3920,"",    6.4,"",    6.1,"",    6.7,"",
"Age characteristics","    40 to 44 years",,  7005,"",  3215,"",  3790,"",    6.0,"",    5.6,"",    6.4,"",
"Age characteristics","    45 to 49 years",,  6960,"",  3240,"",  3715,"",    6.0,"",    5.7,"",    6.3,"",
"Age characteristics","    50 to 54 years",,  7645,"",  3595,"",  4055,"",    6.6,"",    6.3,"",    6.9,"",
"Age characteristics","    55 to 59 years",,  7975,"",  3865,"",  4105,"",    6.9,"",    6.8,"",    7.0,"",
"Age characteristics","    60 to 64 years",,  7040,"",  3535,"",  3505,"",    6.1,"",    6.2,"",    6.0,"",
"Age characteristics","  65 years and over",, 18345,"",  8365,"",  9975,"",   15.8,"",   14.6,"",   16.9,"",
"Age characteristics","    65 to 69 years",,  5575,"",  2635,"",  2940,"",    4.8,"",    4.6,"",    5.0,"",
"Age characteristics","    70 to 74 years",,  4685,"",  2190,"",  2495,"",    4.0,"",    3.8,"",    4.2,"",
"Age characteristics","    75 to 79 years",,  3240,"",  1500,"",  1735,"",    2.8,"",    2.6,"",    2.9,"",
"Age characteristics","    80 to 84 years",,  2375,"",  1045,"",  1335,"",    2.0,"",    1.8,"",    2.3,"",
"Age characteristics","    85 years and over",,  2475,"",   995,"",  1480,"",    2.1,"",    1.7,"",    2.5,"",
"Age characteristics","      85 to 89 years",,  1580,"",   670,"",   910,"",    1.4,"",    1.2,"",    1.5,"",
"Age characteristics","      90 to 94 years",,   700,"",   270,"",   430,"",    0.6,"",    0.5,"",    0.7,"",
"Age characteristics","      95 to 99 years",,   175,"",    50,"",   120,"",    0.2,"",    0.1,"",    0.2,"",
"Age characteristics","      100 years and over",,    15,"",     0,"",    15,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   16.0,"",   16.8,"",   15.3,"",   16.0,"",   16.8,"",   15.3,"",
"Age characteristics","  15 to 64 years",,   68.1,"",   68.5,"",   67.7,"",   68.1,"",   68.5,"",   67.7,"",
"Age characteristics","  65 years and over",,   15.8,"",   14.6,"",   16.9,"",   15.8,"",   14.6,"",   16.9,"",
"Age characteristics","    85 years and over",,    2.1,"",    1.7,"",    2.5,"",    2.1,"",    1.7,"",    2.5,"",
"Age characteristics","Average age of the population",,   39.8,"",   38.7,"",   40.8,"",   39.8,"",   38.7,"",   40.8,"",
"Age characteristics","Median age of the population",,   38.0,"",   36.0,"",   39.6,"",   38.0,"",   36.0,"",   39.6,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 38220,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 11300,"",,"...",,"...",   29.6,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  1390,"",,"...",,"...",    3.6,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  3630,"",,"...",,"...",    9.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  3835,"",,"...",,"...",   10.0,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  2015,"",,"...",,"...",    5.3,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 16040,"",,"...",,"...",   42.0,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    10,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     0,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 38225,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",,  7785,"",,"...",,"...",   20.4,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",,  9655,"",,"...",,"...",   25.3,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  7395,"",,"...",,"...",   19.3,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  6615,"",,"...",,"...",   17.3,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  6775,"",,"...",,"...",   17.7,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,115355,"", 56820,"", 58530,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    3.0,"",,"...",,"...",    3.0,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 97390,"", 47520,"", 49865,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 46210,"", 23255,"", 22960,"",   47.4,"",   48.9,"",   46.0,"",
"Marital status","    Married",, 42620,"", 21445,"", 21175,"",   43.8,"",   45.1,"",   42.5,"",
"Marital status","    Living common-law",,  3590,"",  1810,"",  1785,"",    3.7,"",    3.8,"",    3.6,"",
"Marital status","      Living common law - Never married",,  2490,"",  1235,"",  1255,"",    2.6,"",    2.6,"",    2.5,"",
"Marital status","      Living common law - Separated",,   225,"",   120,"",   100,"",    0.2,"",    0.3,"",    0.2,"",
"Marital status","      Living common law - Divorced",,   800,"",   430,"",   370,"",    0.8,"",    0.9,"",    0.7,"",
"Marital status","      Living common law - Widowed",,    80,"",    25,"",    55,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 51175,"", 24270,"", 26910,"",   52.5,"",   51.1,"",   54.0,"",
"Marital status","    Not married and not living common law - Never married",, 36425,"", 19455,"", 16965,"",   37.4,"",   40.9,"",   34.0,"",
"Marital status","    Not married and not living common law - Separated",,  3520,"",  1415,"",  2100,"",    3.6,"",    3.0,"",    4.2,"",
"Marital status","    Not married and not living common law - Divorced",,  6080,"",  2340,"",  3740,"",    6.2,"",    4.9,"",    7.5,"",
"Marital status","    Not married and not living common law - Widowed",,  5150,"",  1050,"",  4100,"",    5.3,"",    2.2,"",    8.2,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 30190,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 12265,"",,"...",,"...",   40.6,"",,"...",,"...",
"Family characteristics","  3 persons",,  7715,"",,"...",,"...",   25.6,"",,"...",,"...",
"Family characteristics","  4 persons",,  6495,"",,"...",,"...",   21.5,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  3710,"",,"...",,"...",   12.3,"",,"...",,"...",
"Family characteristics","Average size of census families",,    3.1,"",,"...",,"...",    3.1,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.9,"",,"...",,"...",    1.9,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 30190,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 21600,"",,"...",,"...",   71.5,"",,"...",,"...",
"Family characteristics","    Married couples",, 19800,"",,"...",,"...",   65.6,"",,"...",,"...",
"Family characteristics","      With children",6, 12850,"",,"...",,"...",   42.6,"",,"...",,"...",
"Family characteristics","      Without children",,  6950,"",,"...",,"...",   23.0,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  1795,"",,"...",,"...",    5.9,"",,"...",,"...",
"Family characteristics","      With children",6,   920,"",,"...",,"...",    3.0,"",,"...",,"...",
"Family characteristics","      Without children",,   880,"",,"...",,"...",    2.9,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  8590,"",,"...",,"...",   28.5,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  7220,"",,"...",,"...",   23.9,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  1375,"",,"...",,"...",    4.6,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,115350,"", 56820,"", 58530,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 94155,"", 45620,"", 48535,"",   81.6,"",   80.3,"",   82.9,"",
"Family characteristics","    Married spouses or common-law partners",, 43195,"", 21590,"", 21600,"",   37.4,"",   38.0,"",   36.9,"",
"Family characteristics","    Parents in one-parent families",,  8590,"",  1370,"",  7220,"",    7.4,"",    2.4,"",   12.3,"",
"Family characteristics","    Children",6, 42370,"", 22655,"", 19710,"",   36.7,"",   39.9,"",   33.7,"",
"Family characteristics","      In a two-parent family",, 27020,"", 14500,"", 12520,"",   23.4,"",   25.5,"",   21.4,"",
"Family characteristics","      In a one-parent family",, 15345,"",  8160,"",  7190,"",   13.3,"",   14.4,"",   12.3,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 21200,"", 11200,"", 10000,"",   18.4,"",   19.7,"",   17.1,"",
"Family characteristics","    Living alone",,  7785,"",  3800,"",  3985,"",    6.7,"",    6.7,"",    6.8,"",
"Family characteristics","    Living with other relatives",7,  5505,"",  2315,"",  3190,"",    4.8,"",    4.1,"",    5.5,"",
"Family characteristics","    Living with non-relatives only",,  7910,"",  5085,"",  2820,"",    6.9,"",    8.9,"",    4.8,"",
"Household type","Total - Household type - 100% data",, 38220,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 21605,"",,"...",,"...",   56.5,"",,"...",,"...",
"Household type","    Couple-family households",, 15790,"",,"...",,"...",   41.3,"",,"...",,"...",
"Household type","      With children",6, 10420,"",,"...",,"...",   27.3,"",,"...",,"...",
"Household type","      Without children",,  5375,"",,"...",,"...",   14.1,"",,"...",,"...",
"Household type","    One-parent-family households",,  5810,"",,"...",,"...",   15.2,"",,"...",,"...",
"Household type","  Multigenerational households",8,  2930,"",,"...",,"...",    7.7,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   670,"",,"...",,"...",    1.8,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  2455,"",,"...",,"...",    6.4,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  2775,"",,"...",,"...",    7.3,"",,"...",,"...",
"Household type","  One-person households",,  7785,"",,"...",,"...",   20.4,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 96750,"", 47230,"", 49525,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 91225,"", 44445,"", 46785,"",   94.3,"",   94.1,"",   94.5,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 32400,"", 34000,"", 31400,"", 32400,"", 34000,"", 31400,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 91280,"", 44470,"", 46805,"",   94.3,"",   94.2,"",   94.5,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 30600,"", 31800,"", 29800,"", 30600,"", 31800,"", 29800,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 74415,"", 37845,"", 36570,"",   76.9,"",   80.1,"",   73.8,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 25200,"", 29000,"", 21800,"", 25200,"", 29000,"", 21800,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 62685,"", 32845,"", 29840,"",   64.8,"",   69.5,"",   60.3,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 28400,"", 31400,"", 25400,"", 28400,"", 31400,"", 25400,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 86185,"", 41690,"", 44495,"",   89.1,"",   88.3,"",   89.8,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",, 11100,"",  8900,"", 12800,"", 11100,"",  8900,"", 12800,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 10935,"",  4930,"",  6010,"",   11.3,"",   10.4,"",   12.1,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5560,"",  5800,"",  5480,"",  5560,"",  5800,"",  5480,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 36990,"", 18820,"", 18165,"",   38.2,"",   39.8,"",   36.7,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 96620,"", 47215,"", 49405,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 91340,"", 44510,"", 46835,"",   94.5,"",   94.3,"",   94.8,"",
