"Census Profile, 2021 Census of Population"
,,,"Scarborough Centre [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,113104,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,112603,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    0.4,"",,"...",,"...",    0.4,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 42672,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 40564,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 4021.6,"",,"...",,"...", 4021.6,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   28.12,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,113105,"", 54685,"", 58420,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 17110,"",  8805,"",  8300,"",   15.1,"",   16.1,"",   14.2,"",
"Age characteristics","    0 to 4 years",,  5310,"",  2700,"",  2615,"",    4.7,"",    4.9,"",    4.5,"",
"Age characteristics","    5 to 9 years",,  5835,"",  2995,"",  2835,"",    5.2,"",    5.5,"",    4.9,"",
"Age characteristics","    10 to 14 years",,  5960,"",  3110,"",  2855,"",    5.3,"",    5.7,"",    4.9,"",
"Age characteristics","  15 to 64 years",, 76340,"", 37350,"", 38995,"",   67.5,"",   68.3,"",   66.7,"",
"Age characteristics","    15 to 19 years",,  6390,"",  3270,"",  3120,"",    5.6,"",    6.0,"",    5.3,"",
"Age characteristics","    20 to 24 years",,  8240,"",  4280,"",  3955,"",    7.3,"",    7.8,"",    6.8,"",
"Age characteristics","    25 to 29 years",,  9040,"",  4795,"",  4245,"",    8.0,"",    8.8,"",    7.3,"",
"Age characteristics","    30 to 34 years",,  8015,"",  3955,"",  4060,"",    7.1,"",    7.2,"",    6.9,"",
"Age characteristics","    35 to 39 years",,  7495,"",  3580,"",  3915,"",    6.6,"",    6.5,"",    6.7,"",
"Age characteristics","    40 to 44 years",,  6895,"",  3265,"",  3635,"",    6.1,"",    6.0,"",    6.2,"",
"Age characteristics","    45 to 49 years",,  6880,"",  3105,"",  3780,"",    6.1,"",    5.7,"",    6.5,"",
"Age characteristics","    50 to 54 years",,  7505,"",  3535,"",  3970,"",    6.6,"",    6.5,"",    6.8,"",
"Age characteristics","    55 to 59 years",,  8370,"",  3945,"",  4425,"",    7.4,"",    7.2,"",    7.6,"",
"Age characteristics","    60 to 64 years",,  7510,"",  3625,"",  3885,"",    6.6,"",    6.6,"",    6.7,"",
"Age characteristics","  65 years and over",, 19655,"",  8525,"", 11130,"",   17.4,"",   15.6,"",   19.1,"",
"Age characteristics","    65 to 69 years",,  6015,"",  2820,"",  3195,"",    5.3,"",    5.2,"",    5.5,"",
"Age characteristics","    70 to 74 years",,  4605,"",  2085,"",  2520,"",    4.1,"",    3.8,"",    4.3,"",
"Age characteristics","    75 to 79 years",,  3255,"",  1435,"",  1820,"",    2.9,"",    2.6,"",    3.1,"",
"Age characteristics","    80 to 84 years",,  2635,"",  1050,"",  1585,"",    2.3,"",    1.9,"",    2.7,"",
"Age characteristics","    85 years and over",,  3140,"",  1135,"",  2005,"",    2.8,"",    2.1,"",    3.4,"",
"Age characteristics","      85 to 89 years",,  1800,"",   715,"",  1090,"",    1.6,"",    1.3,"",    1.9,"",
"Age characteristics","      90 to 94 years",,   995,"",   345,"",   650,"",    0.9,"",    0.6,"",    1.1,"",
"Age characteristics","      95 to 99 years",,   300,"",    75,"",   220,"",    0.3,"",    0.1,"",    0.4,"",
"Age characteristics","      100 years and over",,    50,"",    10,"",    45,"",    0.0,"",    0.0,"",    0.1,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   15.1,"",   16.1,"",   14.2,"",   15.1,"",   16.1,"",   14.2,"",
"Age characteristics","  15 to 64 years",,   67.5,"",   68.3,"",   66.7,"",   67.5,"",   68.3,"",   66.7,"",
"Age characteristics","  65 years and over",,   17.4,"",   15.6,"",   19.1,"",   17.4,"",   15.6,"",   19.1,"",
"Age characteristics","    85 years and over",,    2.8,"",    2.1,"",    3.4,"",    2.8,"",    2.1,"",    3.4,"",
"Age characteristics","Average age of the population",,   41.3,"",   39.9,"",   42.7,"",   41.3,"",   39.9,"",   42.7,"",
"Age characteristics","Median age of the population",,   40.0,"",   38.0,"",   42.0,"",   40.0,"",   38.0,"",   42.0,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 40560,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 13870,"",,"...",,"...",   34.2,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,   805,"",,"...",,"...",    2.0,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  2860,"",,"...",,"...",    7.1,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  3960,"",,"...",,"...",    9.8,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  2180,"",,"...",,"...",    5.4,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 16840,"",,"...",,"...",   41.5,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    40,"",,"...",,"...",    0.1,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     5,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 40565,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 10010,"",,"...",,"...",   24.7,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 11295,"",,"...",,"...",   27.8,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  7515,"",,"...",,"...",   18.5,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  6310,"",,"...",,"...",   15.6,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  5425,"",,"...",,"...",   13.4,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,111745,"", 54220,"", 57525,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.8,"",,"...",,"...",    2.8,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 95995,"", 45875,"", 50125,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 47830,"", 23935,"", 23895,"",   49.8,"",   52.2,"",   47.7,"",
"Marital status","    Married",, 43435,"", 21765,"", 21670,"",   45.2,"",   47.4,"",   43.2,"",
"Marital status","    Living common-law",,  4400,"",  2175,"",  2225,"",    4.6,"",    4.7,"",    4.4,"",
"Marital status","      Living common law - Never married",,  3215,"",  1570,"",  1640,"",    3.3,"",    3.4,"",    3.3,"",
"Marital status","      Living common law - Separated",,   205,"",   115,"",    90,"",    0.2,"",    0.3,"",    0.2,"",
"Marital status","      Living common law - Divorced",,   865,"",   450,"",   415,"",    0.9,"",    1.0,"",    0.8,"",
"Marital status","      Living common law - Widowed",,   110,"",    35,"",    70,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 48170,"", 21940,"", 26230,"",   50.2,"",   47.8,"",   52.3,"",
"Marital status","    Not married and not living common law - Never married",, 33660,"", 17650,"", 16010,"",   35.1,"",   38.5,"",   31.9,"",
"Marital status","    Not married and not living common law - Separated",,  2935,"",  1175,"",  1760,"",    3.1,"",    2.6,"",    3.5,"",
"Marital status","    Not married and not living common law - Divorced",,  5680,"",  2020,"",  3660,"",    5.9,"",    4.4,"",    7.3,"",
"Marital status","    Not married and not living common law - Widowed",,  5890,"",  1095,"",  4800,"",    6.1,"",    2.4,"",    9.6,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 29960,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 13065,"",,"...",,"...",   43.6,"",,"...",,"...",
"Family characteristics","  3 persons",,  7645,"",,"...",,"...",   25.5,"",,"...",,"...",
"Family characteristics","  4 persons",,  6200,"",,"...",,"...",   20.7,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  3050,"",,"...",,"...",   10.2,"",,"...",,"...",
"Family characteristics","Average size of census families",,    3.0,"",,"...",,"...",    3.0,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.8,"",,"...",,"...",    1.8,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 29955,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 22635,"",,"...",,"...",   75.6,"",,"...",,"...",
"Family characteristics","    Married couples",, 20440,"",,"...",,"...",   68.2,"",,"...",,"...",
"Family characteristics","      With children",6, 13175,"",,"...",,"...",   44.0,"",,"...",,"...",
"Family characteristics","      Without children",,  7260,"",,"...",,"...",   24.2,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  2195,"",,"...",,"...",    7.3,"",,"...",,"...",
"Family characteristics","      With children",6,   905,"",,"...",,"...",    3.0,"",,"...",,"...",
"Family characteristics","      Without children",,  1290,"",,"...",,"...",    4.3,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  7325,"",,"...",,"...",   24.5,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  6165,"",,"...",,"...",   20.6,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  1160,"",,"...",,"...",    3.9,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,111745,"", 54220,"", 57525,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 90205,"", 43880,"", 46325,"",   80.7,"",   80.9,"",   80.5,"",
"Family characteristics","    Married spouses or common-law partners",, 45260,"", 22580,"", 22685,"",   40.5,"",   41.6,"",   39.4,"",
"Family characteristics","    Parents in one-parent families",,  7325,"",  1160,"",  6165,"",    6.6,"",    2.1,"",   10.7,"",
"Family characteristics","    Children",6, 37610,"", 20145,"", 17470,"",   33.7,"",   37.2,"",   30.4,"",
"Family characteristics","      In a two-parent family",, 26275,"", 14010,"", 12265,"",   23.5,"",   25.8,"",   21.3,"",
"Family characteristics","      In a one-parent family",, 11335,"",  6130,"",  5205,"",   10.1,"",   11.3,"",    9.0,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 21540,"", 10340,"", 11200,"",   19.3,"",   19.1,"",   19.5,"",
"Family characteristics","    Living alone",, 10010,"",  4295,"",  5720,"",    9.0,"",    7.9,"",    9.9,"",
"Family characteristics","    Living with other relatives",7,  4735,"",  1875,"",  2860,"",    4.2,"",    3.5,"",    5.0,"",
"Family characteristics","    Living with non-relatives only",,  6795,"",  4170,"",  2625,"",    6.1,"",    7.7,"",    4.6,"",
"Household type","Total - Household type - 100% data",, 40560,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 23070,"",,"...",,"...",   56.9,"",,"...",,"...",
"Household type","    Couple-family households",, 17720,"",,"...",,"...",   43.7,"",,"...",,"...",
"Household type","      With children",6, 11240,"",,"...",,"...",   27.7,"",,"...",,"...",
"Household type","      Without children",,  6480,"",,"...",,"...",   16.0,"",,"...",,"...",
"Household type","    One-parent-family households",,  5350,"",,"...",,"...",   13.2,"",,"...",,"...",
"Household type","  Multigenerational households",8,  2285,"",,"...",,"...",    5.6,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   595,"",,"...",,"...",    1.5,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  2055,"",,"...",,"...",    5.1,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  2545,"",,"...",,"...",    6.3,"",,"...",,"...",
"Household type","  One-person households",, 10015,"",,"...",,"...",   24.7,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 94730,"", 45470,"", 49270,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 89385,"", 42775,"", 46610,"",   94.4,"",   94.1,"",   94.6,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 34000,"", 35600,"", 32400,"", 34000,"", 35600,"", 32400,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 89405,"", 42785,"", 46625,"",   94.4,"",   94.1,"",   94.6,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 31600,"", 32800,"", 30600,"", 31600,"", 32800,"", 30600,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 74270,"", 36775,"", 37495,"",   78.4,"",   80.9,"",   76.1,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 27200,"", 31200,"", 23600,"", 27200,"", 31200,"", 23600,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 61500,"", 31495,"", 30010,"",   64.9,"",   69.3,"",   60.9,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 31000,"", 33600,"", 28000,"", 31000,"", 33600,"", 28000,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 83915,"", 39805,"", 44110,"",   88.6,"",   87.5,"",   89.5,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",, 10600,"",  8600,"", 12300,"", 10600,"",  8600,"", 12300,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  9770,"",  4380,"",  5390,"",   10.3,"",    9.6,"",   10.9,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5480,"",  5480,"",  5480,"",  5480,"",  5480,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 33035,"", 16590,"", 16445,"",   34.9,"",   36.5,"",   33.4,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 94595,"", 45335,"", 49260,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 89355,"", 42755,"", 46590,"",   94.5,"",   94.3,"",   94.6,"",
