"Census Profile, 2021 Census of Population"
,,,"Spadina--Fort York [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,136213,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,115506,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,   17.9,"",,"...",,"...",   17.9,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 91903,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 80641,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",,10675.4,"",,"...",,"...",10675.4,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   12.76,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,136215,"", 67670,"", 68545,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,  9300,"",  4725,"",  4575,"",    6.8,"",    7.0,"",    6.7,"",
"Age characteristics","    0 to 4 years",,  4445,"",  2305,"",  2145,"",    3.3,"",    3.4,"",    3.1,"",
"Age characteristics","    5 to 9 years",,  2855,"",  1420,"",  1435,"",    2.1,"",    2.1,"",    2.1,"",
"Age characteristics","    10 to 14 years",,  2000,"",  1005,"",   995,"",    1.5,"",    1.5,"",    1.5,"",
"Age characteristics","  15 to 64 years",,116260,"", 58255,"", 58010,"",   85.4,"",   86.1,"",   84.6,"",
"Age characteristics","    15 to 19 years",,  2095,"",  1000,"",  1095,"",    1.5,"",    1.5,"",    1.6,"",
"Age characteristics","    20 to 24 years",, 10480,"",  4730,"",  5750,"",    7.7,"",    7.0,"",    8.4,"",
"Age characteristics","    25 to 29 years",, 28670,"", 13730,"", 14940,"",   21.0,"",   20.3,"",   21.8,"",
"Age characteristics","    30 to 34 years",, 27330,"", 14225,"", 13100,"",   20.1,"",   21.0,"",   19.1,"",
"Age characteristics","    35 to 39 years",, 16020,"",  8560,"",  7460,"",   11.8,"",   12.6,"",   10.9,"",
"Age characteristics","    40 to 44 years",,  9500,"",  5030,"",  4465,"",    7.0,"",    7.4,"",    6.5,"",
"Age characteristics","    45 to 49 years",,  6795,"",  3515,"",  3275,"",    5.0,"",    5.2,"",    4.8,"",
"Age characteristics","    50 to 54 years",,  5585,"",  2790,"",  2790,"",    4.1,"",    4.1,"",    4.1,"",
"Age characteristics","    55 to 59 years",,  5330,"",  2540,"",  2790,"",    3.9,"",    3.8,"",    4.1,"",
"Age characteristics","    60 to 64 years",,  4465,"",  2125,"",  2335,"",    3.3,"",    3.1,"",    3.4,"",
"Age characteristics","  65 years and over",, 10645,"",  4690,"",  5955,"",    7.8,"",    6.9,"",    8.7,"",
"Age characteristics","    65 to 69 years",,  3555,"",  1640,"",  1915,"",    2.6,"",    2.4,"",    2.8,"",
"Age characteristics","    70 to 74 years",,  2835,"",  1270,"",  1560,"",    2.1,"",    1.9,"",    2.3,"",
"Age characteristics","    75 to 79 years",,  1880,"",   810,"",  1065,"",    1.4,"",    1.2,"",    1.6,"",
"Age characteristics","    80 to 84 years",,  1210,"",   530,"",   685,"",    0.9,"",    0.8,"",    1.0,"",
"Age characteristics","    85 years and over",,  1175,"",   440,"",   735,"",    0.9,"",    0.7,"",    1.1,"",
"Age characteristics","      85 to 89 years",,   745,"",   280,"",   460,"",    0.5,"",    0.4,"",    0.7,"",
"Age characteristics","      90 to 94 years",,   335,"",   135,"",   200,"",    0.2,"",    0.2,"",    0.3,"",
"Age characteristics","      95 to 99 years",,    85,"",    15,"",    65,"",    0.1,"",    0.0,"",    0.1,"",
"Age characteristics","      100 years and over",,    15,"",     5,"",    10,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,    6.8,"",    7.0,"",    6.7,"",    6.8,"",    7.0,"",    6.7,"",
"Age characteristics","  15 to 64 years",,   85.4,"",   86.1,"",   84.6,"",   85.4,"",   86.1,"",   84.6,"",
"Age characteristics","  65 years and over",,    7.8,"",    6.9,"",    8.7,"",    7.8,"",    6.9,"",    8.7,"",
"Age characteristics","    85 years and over",,    0.9,"",    0.7,"",    1.1,"",    0.9,"",    0.7,"",    1.1,"",
"Age characteristics","Average age of the population",,   36.7,"",   36.4,"",   37.0,"",   36.7,"",   36.4,"",   37.0,"",
"Age characteristics","Median age of the population",,   32.8,"",   33.2,"",   32.8,"",   32.8,"",   33.2,"",   32.8,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 80640,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",,   515,"",,"...",,"...",    0.6,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,   585,"",,"...",,"...",    0.7,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  2375,"",,"...",,"...",    2.9,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,   965,"",,"...",,"...",    1.2,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  4905,"",,"...",,"...",    6.1,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 71005,"",,"...",,"...",   88.1,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,   285,"",,"...",,"...",    0.4,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     0,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 80640,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 42285,"",,"...",,"...",   52.4,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 28100,"",,"...",,"...",   34.8,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  6395,"",,"...",,"...",    7.9,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  2685,"",,"...",,"...",    3.3,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  1175,"",,"...",,"...",    1.5,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,135040,"", 67005,"", 68030,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    1.7,"",,"...",,"...",    1.7,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,126910,"", 62940,"", 63965,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 55870,"", 28615,"", 27260,"",   44.0,"",   45.5,"",   42.6,"",
"Marital status","    Married",, 34435,"", 17430,"", 17005,"",   27.1,"",   27.7,"",   26.6,"",
"Marital status","    Living common-law",, 21430,"", 11180,"", 10255,"",   16.9,"",   17.8,"",   16.0,"",
"Marital status","      Living common law - Never married",, 19595,"", 10215,"",  9380,"",   15.4,"",   16.2,"",   14.7,"",
"Marital status","      Living common law - Separated",,   245,"",   140,"",   105,"",    0.2,"",    0.2,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  1520,"",   790,"",   735,"",    1.2,"",    1.3,"",    1.1,"",
"Marital status","      Living common law - Widowed",,    70,"",    35,"",    35,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 71040,"", 34330,"", 36705,"",   56.0,"",   54.5,"",   57.4,"",
"Marital status","    Not married and not living common law - Never married",, 59985,"", 30345,"", 29640,"",   47.3,"",   48.2,"",   46.3,"",
"Marital status","    Not married and not living common law - Separated",,  2400,"",  1180,"",  1225,"",    1.9,"",    1.9,"",    1.9,"",
"Marital status","    Not married and not living common law - Divorced",,  6295,"",  2395,"",  3900,"",    5.0,"",    3.8,"",    6.1,"",
"Marital status","    Not married and not living common law - Widowed",,  2360,"",   410,"",  1945,"",    1.9,"",    0.7,"",    3.0,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 30630,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 22520,"",,"...",,"...",   73.5,"",,"...",,"...",
"Family characteristics","  3 persons",,  5105,"",,"...",,"...",   16.7,"",,"...",,"...",
"Family characteristics","  4 persons",,  2370,"",,"...",,"...",    7.7,"",,"...",,"...",
"Family characteristics","  5 or more persons",,   635,"",,"...",,"...",    2.1,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.4,"",,"...",,"...",    2.4,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.5,"",,"...",,"...",    1.5,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 30635,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 26820,"",,"...",,"...",   87.5,"",,"...",,"...",
"Family characteristics","    Married couples",, 16105,"",,"...",,"...",   52.6,"",,"...",,"...",
"Family characteristics","      With children",6,  6150,"",,"...",,"...",   20.1,"",,"...",,"...",
"Family characteristics","      Without children",,  9955,"",,"...",,"...",   32.5,"",,"...",,"...",
"Family characteristics","    Common-law couples",, 10715,"",,"...",,"...",   35.0,"",,"...",,"...",
"Family characteristics","      With children",6,   865,"",,"...",,"...",    2.8,"",,"...",,"...",
"Family characteristics","      Without children",,  9845,"",,"...",,"...",   32.1,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  3815,"",,"...",,"...",   12.5,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  3130,"",,"...",,"...",   10.2,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,   680,"",,"...",,"...",    2.2,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,135040,"", 67005,"", 68035,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 73215,"", 36255,"", 36960,"",   54.2,"",   54.1,"",   54.3,"",
"Family characteristics","    Married spouses or common-law partners",, 53635,"", 27480,"", 26150,"",   39.7,"",   41.0,"",   38.4,"",
"Family characteristics","    Parents in one-parent families",,  3815,"",   685,"",  3135,"",    2.8,"",    1.0,"",    4.6,"",
"Family characteristics","    Children",6, 15760,"",  8090,"",  7670,"",   11.7,"",   12.1,"",   11.3,"",
"Family characteristics","      In a two-parent family",, 10510,"",  5430,"",  5075,"",    7.8,"",    8.1,"",    7.5,"",
"Family characteristics","      In a one-parent family",,  5250,"",  2660,"",  2590,"",    3.9,"",    4.0,"",    3.8,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 61830,"", 30750,"", 31075,"",   45.8,"",   45.9,"",   45.7,"",
"Family characteristics","    Living alone",, 42285,"", 20720,"", 21560,"",   31.3,"",   30.9,"",   31.7,"",
"Family characteristics","    Living with other relatives",7,  4105,"",  1780,"",  2325,"",    3.0,"",    2.7,"",    3.4,"",
"Family characteristics","    Living with non-relatives only",, 15435,"",  8250,"",  7190,"",   11.4,"",   12.3,"",   10.6,"",
"Household type","Total - Household type - 100% data",, 80640,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 28475,"",,"...",,"...",   35.3,"",,"...",,"...",
"Household type","    Couple-family households",, 25305,"",,"...",,"...",   31.4,"",,"...",,"...",
"Household type","      With children",6,  6435,"",,"...",,"...",    8.0,"",,"...",,"...",
"Household type","      Without children",, 18870,"",,"...",,"...",   23.4,"",,"...",,"...",
"Household type","    One-parent-family households",,  3175,"",,"...",,"...",    3.9,"",,"...",,"...",
"Household type","  Multigenerational households",8,   580,"",,"...",,"...",    0.7,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   150,"",,"...",,"...",    0.2,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,   980,"",,"...",,"...",    1.2,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  8170,"",,"...",,"...",   10.1,"",,"...",,"...",
"Household type","  One-person households",, 42280,"",,"...",,"...",   52.4,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,125790,"", 62300,"", 63485,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,121545,"", 60225,"", 61320,"",   96.6,"",   96.7,"",   96.6,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 58400,"", 65500,"", 52800,"", 58400,"", 65500,"", 52800,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,121580,"", 60240,"", 61340,"",   96.7,"",   96.7,"",   96.6,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 50400,"", 55600,"", 46400,"", 50400,"", 55600,"", 46400,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,113015,"", 56540,"", 56480,"",   89.8,"",   90.8,"",   89.0,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 60000,"", 67000,"", 53200,"", 60000,"", 67000,"", 53200,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",,102235,"", 51715,"", 50520,"",   81.3,"",   83.0,"",   79.6,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 62400,"", 69000,"", 56400,"", 62400,"", 69000,"", 56400,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",,108805,"", 53515,"", 55290,"",   86.5,"",   85.9,"",   87.1,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  1380,"",  1140,"",  1880,"",  1380,"",  1140,"",  1880,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 10305,"",  4520,"",  5785,"",    8.2,"",    7.3,"",    9.1,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5520,"",  5480,"",  5560,"",  5520,"",  5480,"",  5560,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 34255,"", 16545,"", 17715,"",   27.2,"",   26.6,"",   27.9,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,126135,"", 62505,"", 63630,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,121805,"", 60345,"", 61455,"",   96.6,"",   96.5,"",   96.6,"",
"Income of individuals in 2020","    Average total income in 2020 among recipients ($)",, 78400,"", 90600,"", 66300,"", 78400,"", 90600,"", 66300,"",
