"Census Profile, 2021 Census of Population"
,,,"Toronto--St. Paul's [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,116953,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,107900,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    8.4,"",,"...",,"...",    8.4,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 65727,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 58395,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 8914.8,"",,"...",,"...", 8914.8,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   13.12,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,116955,"", 54070,"", 62885,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 13530,"",  7005,"",  6525,"",   11.6,"",   13.0,"",   10.4,"",
"Age characteristics","    0 to 4 years",,  4515,"",  2360,"",  2160,"",    3.9,"",    4.4,"",    3.4,"",
"Age characteristics","    5 to 9 years",,  4390,"",  2235,"",  2155,"",    3.8,"",    4.1,"",    3.4,"",
"Age characteristics","    10 to 14 years",,  4625,"",  2410,"",  2215,"",    4.0,"",    4.5,"",    3.5,"",
"Age characteristics","  15 to 64 years",, 79495,"", 37435,"", 42060,"",   68.0,"",   69.2,"",   66.9,"",
"Age characteristics","    15 to 19 years",,  4450,"",  2255,"",  2190,"",    3.8,"",    4.2,"",    3.5,"",
"Age characteristics","    20 to 24 years",,  5780,"",  2685,"",  3095,"",    4.9,"",    5.0,"",    4.9,"",
"Age characteristics","    25 to 29 years",, 10935,"",  4985,"",  5940,"",    9.3,"",    9.2,"",    9.4,"",
"Age characteristics","    30 to 34 years",, 12900,"",  6250,"",  6650,"",   11.0,"",   11.6,"",   10.6,"",
"Age characteristics","    35 to 39 years",, 10040,"",  4880,"",  5165,"",    8.6,"",    9.0,"",    8.2,"",
"Age characteristics","    40 to 44 years",,  7655,"",  3645,"",  4015,"",    6.5,"",    6.7,"",    6.4,"",
"Age characteristics","    45 to 49 years",,  7230,"",  3320,"",  3910,"",    6.2,"",    6.1,"",    6.2,"",
"Age characteristics","    50 to 54 years",,  7110,"",  3325,"",  3790,"",    6.1,"",    6.1,"",    6.0,"",
"Age characteristics","    55 to 59 years",,  6950,"",  3225,"",  3725,"",    5.9,"",    6.0,"",    5.9,"",
"Age characteristics","    60 to 64 years",,  6445,"",  2860,"",  3585,"",    5.5,"",    5.3,"",    5.7,"",
"Age characteristics","  65 years and over",, 23930,"",  9630,"", 14295,"",   20.5,"",   17.8,"",   22.7,"",
"Age characteristics","    65 to 69 years",,  6170,"",  2590,"",  3580,"",    5.3,"",    4.8,"",    5.7,"",
"Age characteristics","    70 to 74 years",,  5850,"",  2420,"",  3430,"",    5.0,"",    4.5,"",    5.5,"",
"Age characteristics","    75 to 79 years",,  4450,"",  1855,"",  2595,"",    3.8,"",    3.4,"",    4.1,"",
"Age characteristics","    80 to 84 years",,  3240,"",  1275,"",  1965,"",    2.8,"",    2.4,"",    3.1,"",
"Age characteristics","    85 years and over",,  4215,"",  1490,"",  2725,"",    3.6,"",    2.8,"",    4.3,"",
"Age characteristics","      85 to 89 years",,  2265,"",   870,"",  1395,"",    1.9,"",    1.6,"",    2.2,"",
"Age characteristics","      90 to 94 years",,  1490,"",   505,"",   990,"",    1.3,"",    0.9,"",    1.6,"",
"Age characteristics","      95 to 99 years",,   395,"",   100,"",   290,"",    0.3,"",    0.2,"",    0.5,"",
"Age characteristics","      100 years and over",,    60,"",    15,"",    50,"",    0.1,"",    0.0,"",    0.1,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   11.6,"",   13.0,"",   10.4,"",   11.6,"",   13.0,"",   10.4,"",
"Age characteristics","  15 to 64 years",,   68.0,"",   69.2,"",   66.9,"",   68.0,"",   69.2,"",   66.9,"",
"Age characteristics","  65 years and over",,   20.5,"",   17.8,"",   22.7,"",   20.5,"",   17.8,"",   22.7,"",
"Age characteristics","    85 years and over",,    3.6,"",    2.8,"",    4.3,"",    3.6,"",    2.8,"",    4.3,"",
"Age characteristics","Average age of the population",,   43.5,"",   41.8,"",   44.9,"",   43.5,"",   41.8,"",   44.9,"",
"Age characteristics","Median age of the population",,   40.4,"",   38.8,"",   42.0,"",   40.4,"",   38.8,"",   42.0,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 58395,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",,  8895,"",,"...",,"...",   15.2,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  2820,"",,"...",,"...",    4.8,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,   945,"",,"...",,"...",    1.6,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  1475,"",,"...",,"...",    2.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",, 11070,"",,"...",,"...",   19.0,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 33145,"",,"...",,"...",   56.8,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    35,"",,"...",,"...",    0.1,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     0,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 58395,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 25760,"",,"...",,"...",   44.1,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 19090,"",,"...",,"...",   32.7,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  6590,"",,"...",,"...",   11.3,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  4865,"",,"...",,"...",    8.3,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  2090,"",,"...",,"...",    3.6,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,114375,"", 53220,"", 61165,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.0,"",,"...",,"...",    2.0,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,103425,"", 47065,"", 56355,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 52135,"", 26230,"", 25905,"",   50.4,"",   55.7,"",   46.0,"",
"Marital status","    Married",, 40665,"", 20325,"", 20335,"",   39.3,"",   43.2,"",   36.1,"",
"Marital status","    Living common-law",, 11470,"",  5900,"",  5570,"",   11.1,"",   12.5,"",    9.9,"",
"Marital status","      Living common law - Never married",,  9595,"",  4875,"",  4720,"",    9.3,"",   10.4,"",    8.4,"",
"Marital status","      Living common law - Separated",,   225,"",   145,"",    85,"",    0.2,"",    0.3,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  1515,"",   815,"",   700,"",    1.5,"",    1.7,"",    1.2,"",
"Marital status","      Living common law - Widowed",,   135,"",    70,"",    65,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 51285,"", 20835,"", 30455,"",   49.6,"",   44.3,"",   54.0,"",
"Marital status","    Not married and not living common law - Never married",, 35815,"", 16545,"", 19275,"",   34.6,"",   35.2,"",   34.2,"",
"Marital status","    Not married and not living common law - Separated",,  2675,"",  1085,"",  1590,"",    2.6,"",    2.3,"",    2.8,"",
"Marital status","    Not married and not living common law - Divorced",,  7490,"",  2265,"",  5225,"",    7.2,"",    4.8,"",    9.3,"",
"Marital status","    Not married and not living common law - Widowed",,  5305,"",   940,"",  4370,"",    5.1,"",    2.0,"",    7.8,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 29765,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 17545,"",,"...",,"...",   58.9,"",,"...",,"...",
"Family characteristics","  3 persons",,  6055,"",,"...",,"...",   20.3,"",,"...",,"...",
"Family characteristics","  4 persons",,  4695,"",,"...",,"...",   15.8,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  1470,"",,"...",,"...",    4.9,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.7,"",,"...",,"...",    2.7,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.6,"",,"...",,"...",    1.6,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 29765,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 24995,"",,"...",,"...",   84.0,"",,"...",,"...",
"Family characteristics","    Married couples",, 19265,"",,"...",,"...",   64.7,"",,"...",,"...",
"Family characteristics","      With children",6,  9785,"",,"...",,"...",   32.9,"",,"...",,"...",
"Family characteristics","      Without children",,  9480,"",,"...",,"...",   31.8,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  5730,"",,"...",,"...",   19.3,"",,"...",,"...",
"Family characteristics","      With children",6,   955,"",,"...",,"...",    3.2,"",,"...",,"...",
"Family characteristics","      Without children",,  4780,"",,"...",,"...",   16.1,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  4770,"",,"...",,"...",   16.0,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  3975,"",,"...",,"...",   13.4,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,   795,"",,"...",,"...",    2.7,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,114375,"", 53215,"", 61160,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 79685,"", 39025,"", 40660,"",   69.7,"",   73.3,"",   66.5,"",
"Family characteristics","    Married spouses or common-law partners",, 49995,"", 25220,"", 24770,"",   43.7,"",   47.4,"",   40.5,"",
"Family characteristics","    Parents in one-parent families",,  4770,"",   790,"",  3975,"",    4.2,"",    1.5,"",    6.5,"",
"Family characteristics","    Children",6, 24920,"", 13010,"", 11915,"",   21.8,"",   24.4,"",   19.5,"",
"Family characteristics","      In a two-parent family",, 18260,"",  9575,"",  8685,"",   16.0,"",   18.0,"",   14.2,"",
"Family characteristics","      In a one-parent family",,  6660,"",  3435,"",  3225,"",    5.8,"",    6.5,"",    5.3,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 34695,"", 14195,"", 20505,"",   30.3,"",   26.7,"",   33.5,"",
"Family characteristics","    Living alone",, 25760,"", 10095,"", 15665,"",   22.5,"",   19.0,"",   25.6,"",
"Family characteristics","    Living with other relatives",7,  2465,"",   945,"",  1515,"",    2.2,"",    1.8,"",    2.5,"",
"Family characteristics","    Living with non-relatives only",,  6465,"",  3150,"",  3320,"",    5.7,"",    5.9,"",    5.4,"",
"Household type","Total - Household type - 100% data",, 58395,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 27580,"",,"...",,"...",   47.2,"",,"...",,"...",
"Household type","    Couple-family households",, 23500,"",,"...",,"...",   40.2,"",,"...",,"...",
"Household type","      With children",6,  9955,"",,"...",,"...",   17.0,"",,"...",,"...",
"Household type","      Without children",, 13540,"",,"...",,"...",   23.2,"",,"...",,"...",
"Household type","    One-parent-family households",,  4080,"",,"...",,"...",    7.0,"",,"...",,"...",
"Household type","  Multigenerational households",8,   615,"",,"...",,"...",    1.1,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   140,"",,"...",,"...",    0.2,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1020,"",,"...",,"...",    1.7,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  3280,"",,"...",,"...",    5.6,"",,"...",,"...",
"Household type","  One-person households",, 25765,"",,"...",,"...",   44.1,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,100875,"", 46225,"", 54650,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 97185,"", 44420,"", 52770,"",   96.3,"",   96.1,"",   96.6,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 50400,"", 55200,"", 47200,"", 50400,"", 55200,"", 47200,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 97255,"", 44445,"", 52810,"",   96.4,"",   96.1,"",   96.6,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 44400,"", 47600,"", 42000,"", 44400,"", 47600,"", 42000,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 88950,"", 40940,"", 48010,"",   88.2,"",   88.6,"",   87.8,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 49200,"", 55600,"", 44400,"", 49200,"", 55600,"", 44400,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 72910,"", 34765,"", 38145,"",   72.3,"",   75.2,"",   69.8,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 48400,"", 54400,"", 44000,"", 48400,"", 54400,"", 44000,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 86885,"", 39185,"", 47695,"",   86.1,"",   84.8,"",   87.3,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  6360,"",  4840,"",  7650,"",  6360,"",  4840,"",  7650,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  7955,"",  3335,"",  4625,"",    7.9,"",    7.2,"",    8.5,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5560,"",  5480,"",  5680,"",  5560,"",  5480,"",  5680,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 26725,"", 12485,"", 14240,"",   26.5,"",   27.0,"",   26.1,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,100640,"", 46100,"", 54540,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 97040,"", 44380,"", 52660,"",   96.4,"",   96.3,"",   96.6,"",
