"Census Profile, 2021 Census of Population"
,,,"Willowdale [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,118218,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,118801,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,-    0.5,"",,"...",,"...",-    0.5,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 54386,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 50560,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 5984.4,"",,"...",,"...", 5984.4,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   19.75,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,118220,"", 55940,"", 62280,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 13355,"",  6900,"",  6455,"",   11.3,"",   12.3,"",   10.4,"",
"Age characteristics","    0 to 4 years",,  4575,"",  2325,"",  2250,"",    3.9,"",    4.2,"",    3.6,"",
"Age characteristics","    5 to 9 years",,  4465,"",  2355,"",  2110,"",    3.8,"",    4.2,"",    3.4,"",
"Age characteristics","    10 to 14 years",,  4315,"",  2225,"",  2090,"",    3.6,"",    4.0,"",    3.4,"",
"Age characteristics","  15 to 64 years",, 83605,"", 39930,"", 43670,"",   70.7,"",   71.4,"",   70.1,"",
"Age characteristics","    15 to 19 years",,  5025,"",  2580,"",  2445,"",    4.3,"",    4.6,"",    3.9,"",
"Age characteristics","    20 to 24 years",,  8115,"",  4115,"",  4005,"",    6.9,"",    7.4,"",    6.4,"",
"Age characteristics","    25 to 29 years",, 11525,"",  5495,"",  6030,"",    9.7,"",    9.8,"",    9.7,"",
"Age characteristics","    30 to 34 years",, 12090,"",  6045,"",  6040,"",   10.2,"",   10.8,"",    9.7,"",
"Age characteristics","    35 to 39 years",,  9500,"",  4775,"",  4725,"",    8.0,"",    8.5,"",    7.6,"",
"Age characteristics","    40 to 44 years",,  7830,"",  3600,"",  4230,"",    6.6,"",    6.4,"",    6.8,"",
"Age characteristics","    45 to 49 years",,  7350,"",  3285,"",  4065,"",    6.2,"",    5.9,"",    6.5,"",
"Age characteristics","    50 to 54 years",,  7630,"",  3440,"",  4190,"",    6.5,"",    6.1,"",    6.7,"",
"Age characteristics","    55 to 59 years",,  7655,"",  3510,"",  4145,"",    6.5,"",    6.3,"",    6.7,"",
"Age characteristics","    60 to 64 years",,  6885,"",  3095,"",  3790,"",    5.8,"",    5.5,"",    6.1,"",
"Age characteristics","  65 years and over",, 21260,"",  9100,"", 12155,"",   18.0,"",   16.3,"",   19.5,"",
"Age characteristics","    65 to 69 years",,  6020,"",  2695,"",  3330,"",    5.1,"",    4.8,"",    5.3,"",
"Age characteristics","    70 to 74 years",,  5190,"",  2335,"",  2855,"",    4.4,"",    4.2,"",    4.6,"",
"Age characteristics","    75 to 79 years",,  3545,"",  1545,"",  2000,"",    3.0,"",    2.8,"",    3.2,"",
"Age characteristics","    80 to 84 years",,  2960,"",  1210,"",  1745,"",    2.5,"",    2.2,"",    2.8,"",
"Age characteristics","    85 years and over",,  3550,"",  1320,"",  2225,"",    3.0,"",    2.4,"",    3.6,"",
"Age characteristics","      85 to 89 years",,  2050,"",   785,"",  1270,"",    1.7,"",    1.4,"",    2.0,"",
"Age characteristics","      90 to 94 years",,  1180,"",   445,"",   730,"",    1.0,"",    0.8,"",    1.2,"",
"Age characteristics","      95 to 99 years",,   270,"",    75,"",   195,"",    0.2,"",    0.1,"",    0.3,"",
"Age characteristics","      100 years and over",,    40,"",     5,"",    30,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   11.3,"",   12.3,"",   10.4,"",   11.3,"",   12.3,"",   10.4,"",
"Age characteristics","  15 to 64 years",,   70.7,"",   71.4,"",   70.1,"",   70.7,"",   71.4,"",   70.1,"",
"Age characteristics","  65 years and over",,   18.0,"",   16.3,"",   19.5,"",   18.0,"",   16.3,"",   19.5,"",
"Age characteristics","    85 years and over",,    3.0,"",    2.4,"",    3.6,"",    3.0,"",    2.4,"",    3.6,"",
"Age characteristics","Average age of the population",,   42.4,"",   40.9,"",   43.6,"",   42.4,"",   40.9,"",   43.6,"",
"Age characteristics","Median age of the population",,   39.6,"",   37.6,"",   41.6,"",   39.6,"",   37.6,"",   41.6,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 50560,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 12425,"",,"...",,"...",   24.6,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,   880,"",,"...",,"...",    1.7,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  1745,"",,"...",,"...",    3.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  1510,"",,"...",,"...",    3.0,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  3265,"",,"...",,"...",    6.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 30715,"",,"...",,"...",   60.7,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    15,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     0,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 50560,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 16010,"",,"...",,"...",   31.7,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 16865,"",,"...",,"...",   33.4,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  8650,"",,"...",,"...",   17.1,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  5925,"",,"...",,"...",   11.7,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  3110,"",,"...",,"...",    6.2,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,116945,"", 55560,"", 61380,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.3,"",,"...",,"...",    2.3,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,104865,"", 49040,"", 55825,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 55945,"", 27705,"", 28240,"",   53.3,"",   56.5,"",   50.6,"",
"Marital status","    Married",, 49790,"", 24575,"", 25210,"",   47.5,"",   50.1,"",   45.2,"",
"Marital status","    Living common-law",,  6160,"",  3125,"",  3030,"",    5.9,"",    6.4,"",    5.4,"",
"Marital status","      Living common law - Never married",,  5020,"",  2525,"",  2495,"",    4.8,"",    5.1,"",    4.5,"",
"Marital status","      Living common law - Separated",,   170,"",   105,"",    60,"",    0.2,"",    0.2,"",    0.1,"",
"Marital status","      Living common law - Divorced",,   880,"",   450,"",   435,"",    0.8,"",    0.9,"",    0.8,"",
"Marital status","      Living common law - Widowed",,    90,"",    50,"",    45,"",    0.1,"",    0.1,"",    0.1,"",
"Marital status","  Not married and not living common-law",, 48920,"", 21335,"", 27585,"",   46.7,"",   43.5,"",   49.4,"",
"Marital status","    Not married and not living common law - Never married",, 35040,"", 17450,"", 17590,"",   33.4,"",   35.6,"",   31.5,"",
"Marital status","    Not married and not living common law - Separated",,  2375,"",   890,"",  1485,"",    2.3,"",    1.8,"",    2.7,"",
"Marital status","    Not married and not living common law - Divorced",,  6300,"",  2135,"",  4170,"",    6.0,"",    4.4,"",    7.5,"",
"Marital status","    Not married and not living common law - Widowed",,  5205,"",   865,"",  4335,"",    5.0,"",    1.8,"",    7.8,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 32070,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 16815,"",,"...",,"...",   52.4,"",,"...",,"...",
"Family characteristics","  3 persons",,  8300,"",,"...",,"...",   25.9,"",,"...",,"...",
"Family characteristics","  4 persons",,  5535,"",,"...",,"...",   17.3,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  1420,"",,"...",,"...",    4.4,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.8,"",,"...",,"...",    2.8,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.6,"",,"...",,"...",    1.6,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 32075,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 26445,"",,"...",,"...",   82.4,"",,"...",,"...",
"Family characteristics","    Married couples",, 23375,"",,"...",,"...",   72.9,"",,"...",,"...",
"Family characteristics","      With children",6, 12960,"",,"...",,"...",   40.4,"",,"...",,"...",
"Family characteristics","      Without children",, 10410,"",,"...",,"...",   32.5,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  3075,"",,"...",,"...",    9.6,"",,"...",,"...",
"Family characteristics","      With children",6,   535,"",,"...",,"...",    1.7,"",,"...",,"...",
"Family characteristics","      Without children",,  2540,"",,"...",,"...",    7.9,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  5625,"",,"...",,"...",   17.5,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  4780,"",,"...",,"...",   14.9,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,   845,"",,"...",,"...",    2.6,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,116945,"", 55565,"", 61385,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 88115,"", 42775,"", 45335,"",   75.3,"",   77.0,"",   73.9,"",
"Family characteristics","    Married spouses or common-law partners",, 52895,"", 26495,"", 26395,"",   45.2,"",   47.7,"",   43.0,"",
"Family characteristics","    Parents in one-parent families",,  5625,"",   845,"",  4785,"",    4.8,"",    1.5,"",    7.8,"",
"Family characteristics","    Children",6, 29590,"", 15430,"", 14160,"",   25.3,"",   27.8,"",   23.1,"",
"Family characteristics","      In a two-parent family",, 21735,"", 11355,"", 10380,"",   18.6,"",   20.4,"",   16.9,"",
"Family characteristics","      In a one-parent family",,  7860,"",  4075,"",  3780,"",    6.7,"",    7.3,"",    6.2,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 28835,"", 12785,"", 16050,"",   24.7,"",   23.0,"",   26.1,"",
"Family characteristics","    Living alone",, 16010,"",  6715,"",  9295,"",   13.7,"",   12.1,"",   15.1,"",
"Family characteristics","    Living with other relatives",7,  4190,"",  1620,"",  2570,"",    3.6,"",    2.9,"",    4.2,"",
"Family characteristics","    Living with non-relatives only",,  8630,"",  4455,"",  4180,"",    7.4,"",    8.0,"",    6.8,"",
"Household type","Total - Household type - 100% data",, 50560,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 27040,"",,"...",,"...",   53.5,"",,"...",,"...",
"Household type","    Couple-family households",, 22680,"",,"...",,"...",   44.9,"",,"...",,"...",
"Household type","      With children",6, 11680,"",,"...",,"...",   23.1,"",,"...",,"...",
"Household type","      Without children",, 11000,"",,"...",,"...",   21.8,"",,"...",,"...",
"Household type","    One-parent-family households",,  4360,"",,"...",,"...",    8.6,"",,"...",,"...",
"Household type","  Multigenerational households",8,  1340,"",,"...",,"...",    2.7,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   490,"",,"...",,"...",    1.0,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1900,"",,"...",,"...",    3.8,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  3780,"",,"...",,"...",    7.5,"",,"...",,"...",
"Household type","  One-person households",, 16005,"",,"...",,"...",   31.7,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,103610,"", 48675,"", 54935,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 97655,"", 45760,"", 51895,"",   94.3,"",   94.0,"",   94.5,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 37200,"", 40000,"", 34800,"", 37200,"", 40000,"", 34800,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 97700,"", 45775,"", 51920,"",   94.3,"",   94.0,"",   94.5,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 34000,"", 36800,"", 32400,"", 34000,"", 36800,"", 32400,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 86020,"", 40960,"", 45055,"",   83.0,"",   84.1,"",   82.0,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 33600,"", 39200,"", 29400,"", 33600,"", 39200,"", 29400,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 68170,"", 33620,"", 34545,"",   65.8,"",   69.1,"",   62.9,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 37600,"", 42800,"", 33200,"", 37600,"", 42800,"", 33200,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 88995,"", 41290,"", 47705,"",   85.9,"",   84.8,"",   86.8,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  6200,"",  4600,"",  7650,"",  6200,"",  4600,"",  7650,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  6915,"",  2745,"",  4170,"",    6.7,"",    5.6,"",    7.6,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5520,"",  5480,"",  5640,"",  5520,"",  5480,"",  5640,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 30680,"", 14675,"", 16005,"",   29.6,"",   30.1,"",   29.1,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",, 10000,"", 10000,"", 10000,"", 10000,"", 10000,"", 10000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,103695,"", 48670,"", 55025,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 97630,"", 45660,"", 51970,"",   94.2,"",   93.8,"",   94.4,"",
