"Census Profile, 2021 Census of Population"
,,,"York South--Weston [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,116757,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,116686,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    0.1,"",,"...",,"...",    0.1,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 47876,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 45052,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 4707.7,"",,"...",,"...", 4707.7,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   24.80,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,116755,"", 55790,"", 60965,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 18365,"",  9350,"",  9015,"",   15.7,"",   16.8,"",   14.8,"",
"Age characteristics","    0 to 4 years",,  6040,"",  3145,"",  2890,"",    5.2,"",    5.6,"",    4.7,"",
"Age characteristics","    5 to 9 years",,  6015,"",  3065,"",  2950,"",    5.2,"",    5.5,"",    4.8,"",
"Age characteristics","    10 to 14 years",,  6315,"",  3140,"",  3175,"",    5.4,"",    5.6,"",    5.2,"",
"Age characteristics","  15 to 64 years",, 78990,"", 38090,"", 40900,"",   67.7,"",   68.3,"",   67.1,"",
"Age characteristics","    15 to 19 years",,  6410,"",  3230,"",  3180,"",    5.5,"",    5.8,"",    5.2,"",
"Age characteristics","    20 to 24 years",,  7520,"",  3810,"",  3710,"",    6.4,"",    6.8,"",    6.1,"",
"Age characteristics","    25 to 29 years",,  8220,"",  4150,"",  4075,"",    7.0,"",    7.4,"",    6.7,"",
"Age characteristics","    30 to 34 years",,  8645,"",  4300,"",  4345,"",    7.4,"",    7.7,"",    7.1,"",
"Age characteristics","    35 to 39 years",,  8360,"",  3975,"",  4380,"",    7.2,"",    7.1,"",    7.2,"",
"Age characteristics","    40 to 44 years",,  7895,"",  3680,"",  4210,"",    6.8,"",    6.6,"",    6.9,"",
"Age characteristics","    45 to 49 years",,  7260,"",  3325,"",  3930,"",    6.2,"",    6.0,"",    6.4,"",
"Age characteristics","    50 to 54 years",,  8015,"",  3650,"",  4370,"",    6.9,"",    6.5,"",    7.2,"",
"Age characteristics","    55 to 59 years",,  8885,"",  4260,"",  4625,"",    7.6,"",    7.6,"",    7.6,"",
"Age characteristics","    60 to 64 years",,  7780,"",  3705,"",  4075,"",    6.7,"",    6.6,"",    6.7,"",
"Age characteristics","  65 years and over",, 19405,"",  8350,"", 11055,"",   16.6,"",   15.0,"",   18.1,"",
"Age characteristics","    65 to 69 years",,  5945,"",  2820,"",  3120,"",    5.1,"",    5.1,"",    5.1,"",
"Age characteristics","    70 to 74 years",,  4555,"",  2015,"",  2545,"",    3.9,"",    3.6,"",    4.2,"",
"Age characteristics","    75 to 79 years",,  3125,"",  1375,"",  1750,"",    2.7,"",    2.5,"",    2.9,"",
"Age characteristics","    80 to 84 years",,  2670,"",  1065,"",  1605,"",    2.3,"",    1.9,"",    2.6,"",
"Age characteristics","    85 years and over",,  3105,"",  1070,"",  2035,"",    2.7,"",    1.9,"",    3.3,"",
"Age characteristics","      85 to 89 years",,  1855,"",   695,"",  1160,"",    1.6,"",    1.2,"",    1.9,"",
"Age characteristics","      90 to 94 years",,   960,"",   285,"",   675,"",    0.8,"",    0.5,"",    1.1,"",
"Age characteristics","      95 to 99 years",,   260,"",    80,"",   180,"",    0.2,"",    0.1,"",    0.3,"",
"Age characteristics","      100 years and over",,    30,"",     5,"",    20,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   15.7,"",   16.8,"",   14.8,"",   15.7,"",   16.8,"",   14.8,"",
"Age characteristics","  15 to 64 years",,   67.7,"",   68.3,"",   67.1,"",   67.7,"",   68.3,"",   67.1,"",
"Age characteristics","  65 years and over",,   16.6,"",   15.0,"",   18.1,"",   16.6,"",   15.0,"",   18.1,"",
"Age characteristics","    85 years and over",,    2.7,"",    1.9,"",    3.3,"",    2.7,"",    1.9,"",    3.3,"",
"Age characteristics","Average age of the population",,   41.2,"",   39.8,"",   42.4,"",   41.2,"",   39.8,"",   42.4,"",
"Age characteristics","Median age of the population",,   40.4,"",   38.8,"",   42.0,"",   40.4,"",   38.8,"",   42.0,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 45050,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 13215,"",,"...",,"...",   29.3,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,  3195,"",,"...",,"...",    7.1,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  1240,"",,"...",,"...",    2.8,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,  1990,"",,"...",,"...",    4.4,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  7085,"",,"...",,"...",   15.7,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 18290,"",,"...",,"...",   40.6,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    35,"",,"...",,"...",    0.1,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     5,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 45055,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 12870,"",,"...",,"...",   28.6,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 12725,"",,"...",,"...",   28.2,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  8245,"",,"...",,"...",   18.3,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  6620,"",,"...",,"...",   14.7,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  4580,"",,"...",,"...",   10.2,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,115540,"", 55300,"", 60240,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.6,"",,"...",,"...",    2.6,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",, 98395,"", 46435,"", 51955,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 45680,"", 23055,"", 22625,"",   46.4,"",   49.7,"",   43.5,"",
